BOD No.,Organism,"T0 (dark, hh:mm)",Initial D.O. dark (mg/L),Final D.O. dark (mg/L),"T0 (light, hh:mm)","TF (light, hh:mm)",Final D.O. light (mg/L),Dish ID,Weight (g)
,Algae,,,,,,,,
,Algae,,,,,,,,
,Algae,,,,,,,,
,Algae,,,,,,,,
,Algae,,,,,,,,
,Algae,,,,,,,,
,Macrophyte,,,,,,,,
,Macrophyte,,,,,,,,
,Macrophyte,,,,,,,,
,Macrophyte,,,,,,,,
,Macrophyte,,,,,,,,
,Macrophyte,,,,,,,,
