year,month,latitude,scenario,temperature
2051,10,18,A1B,294.83
2052,10,18,A1B,294.75
2053,10,18,A1B,294.83
2054,10,18,A1B,294.53
2055,10,18,A1B,295.04
2056,10,18,A1B,293.73
2057,10,18,A1B,293.69
2058,10,18,A1B,294.91
2059,10,18,A1B,294.54
2060,10,18,A1B,294.55
2061,10,18,A1B,294.37
2062,10,18,A1B,294.13
2063,10,18,A1B,294.2
2064,10,18,A1B,295.45
2065,10,18,A1B,294.89
2066,10,18,A1B,293.93
2067,10,18,A1B,295.36
2068,10,18,A1B,294.71
2069,10,18,A1B,295.64
2070,10,18,A1B,294.75
2071,10,18,A1B,294.89
2072,10,18,A1B,294.43
2073,10,18,A1B,294.65
2074,10,18,A1B,295.24
2075,10,18,A1B,294.73
2076,10,18,A1B,294.96
2077,10,18,A1B,295.45
2078,10,18,A1B,295.49
2079,10,18,A1B,294.83
2080,10,18,A1B,294.53
2081,10,18,A1B,293.95
2082,10,18,A1B,294.06
2083,10,18,A1B,295.59
2084,10,18,A1B,295.51
2085,10,18,A1B,294.55
2086,10,18,A1B,296.06
2087,10,18,A1B,295.63
2088,10,18,A1B,295.11
2089,10,18,A1B,295.25
2090,10,18,A1B,295.04
2091,10,18,A1B,295.46
2092,10,18,A1B,294.91
2093,10,18,A1B,295.53
2094,10,18,A1B,294.99
2095,10,18,A1B,294.82
2096,10,18,A1B,296.29
2097,10,18,A1B,295.98
2098,10,18,A1B,295.14
2099,10,18,A1B,295.37
2100,10,18,A1B,295.27
2001,11,18,A1B,292.83
2002,11,18,A1B,290.01
2003,11,18,A1B,290.39
2004,11,18,A1B,290.72
2005,11,18,A1B,292.31
2006,11,18,A1B,292.07
2007,11,18,A1B,291.55
2008,11,18,A1B,290.42
2009,11,18,A1B,291.72
2010,11,18,A1B,290.33
2011,11,18,A1B,292.41
2012,11,18,A1B,291.6
2013,11,18,A1B,291.03
2014,11,18,A1B,290.22
2015,11,18,A1B,291.84
2016,11,18,A1B,291.76
2017,11,18,A1B,292.39
2018,11,18,A1B,291.86
2019,11,18,A1B,293.7
2020,11,18,A1B,292.78
2021,11,18,A1B,291.84
2022,11,18,A1B,291.77
2023,11,18,A1B,292.35
2024,11,18,A1B,292.21
2025,11,18,A1B,291.38
2026,11,18,A1B,291.26
2027,11,18,A1B,292.07
2028,11,18,A1B,291.39
2029,11,18,A1B,292.21
2030,11,18,A1B,290.65
2031,11,18,A1B,291.11
2032,11,18,A1B,291.26
2033,11,18,A1B,290.68
2034,11,18,A1B,292.38
2035,11,18,A1B,292.39
2036,11,18,A1B,292.28
2037,11,18,A1B,292.96
2038,11,18,A1B,292.58
2039,11,18,A1B,292.76
2040,11,18,A1B,293.38
2041,11,18,A1B,290.87
2042,11,18,A1B,292.79
2043,11,18,A1B,292.23
2044,11,18,A1B,291.29
2045,11,18,A1B,293.56
2046,11,18,A1B,291.92
2047,11,18,A1B,292.84
2048,11,18,A1B,292.92
2049,11,18,A1B,293.2
2050,11,18,A1B,293.05
2051,11,18,A1B,291.97
2052,11,18,A1B,292.23
2053,11,18,A1B,292.62
2054,11,18,A1B,292.49
2055,11,18,A1B,293.01
2056,11,18,A1B,292.67
2057,11,18,A1B,293.32
2058,11,18,A1B,293.15
2059,11,18,A1B,292.68
2060,11,18,A1B,292.61
2061,11,18,A1B,292.79
2062,11,18,A1B,292.83
2063,11,18,A1B,293.67
2064,11,18,A1B,293.21
2065,11,18,A1B,293.4
2066,11,18,A1B,292.71
2067,11,18,A1B,294.03
2068,11,18,A1B,293.68
2069,11,18,A1B,292.92
2070,11,18,A1B,293.44
2071,11,18,A1B,291.3
2072,11,18,A1B,292.87
2073,11,18,A1B,293.8
2074,11,18,A1B,293.47
2075,11,18,A1B,293.82
2076,11,18,A1B,293.31
2077,11,18,A1B,294.25
2078,11,18,A1B,293.88
2079,11,18,A1B,293.28
2080,11,18,A1B,293.11
2081,11,18,A1B,293.67
2082,11,18,A1B,293.83
2083,11,18,A1B,292.8
2084,11,18,A1B,294.09
2085,11,18,A1B,292.31
2086,11,18,A1B,292.9
2087,11,18,A1B,294.05
2088,11,18,A1B,293.56
2089,11,18,A1B,292.52
2090,11,18,A1B,295.09
2091,11,18,A1B,294.86
2092,11,18,A1B,293.27
2093,11,18,A1B,292.93
2094,11,18,A1B,293.1
2095,11,18,A1B,294.82
2096,11,18,A1B,294.1
2097,11,18,A1B,294.12
2098,11,18,A1B,294.56
2099,11,18,A1B,293.65
2100,11,18,A1B,292.68
2001,12,18,A1B,290.66
2002,12,18,A1B,289.02
2003,12,18,A1B,289.84
2004,12,18,A1B,289.42
2005,12,18,A1B,289.76
2006,12,18,A1B,288.59
2007,12,18,A1B,289.75
2008,12,18,A1B,289.27
2009,12,18,A1B,287.89
2010,12,18,A1B,289.52
2011,12,18,A1B,290.1
2012,12,18,A1B,288.29
2013,12,18,A1B,290.94
2014,12,18,A1B,289.42
2015,12,18,A1B,289.86
2016,12,18,A1B,288.42
2017,12,18,A1B,288.37
2018,12,18,A1B,288.85
2019,12,18,A1B,290.63
2020,12,18,A1B,289.07
2021,12,18,A1B,289.92
2022,12,18,A1B,289.71
2023,12,18,A1B,290.03
2024,12,18,A1B,289.52
2025,12,18,A1B,290.14
2026,12,18,A1B,290.4
2027,12,18,A1B,289.67
2028,12,18,A1B,290.04
2029,12,18,A1B,290.21
2030,12,18,A1B,290.07
2031,12,18,A1B,290.93
2032,12,18,A1B,290.09
2033,12,18,A1B,290.41
2034,12,18,A1B,289.87
2035,12,18,A1B,290.35
2036,12,18,A1B,288.87
2037,12,18,A1B,290.54
2038,12,18,A1B,290.65
2039,12,18,A1B,290.66
2040,12,18,A1B,292.45
2041,12,18,A1B,290.43
2042,12,18,A1B,290.34
2043,12,18,A1B,289.03
2044,12,18,A1B,290.56
2045,12,18,A1B,289.56
2046,12,18,A1B,291.4
2047,12,18,A1B,290.88
2048,12,18,A1B,290.93
2049,12,18,A1B,289.49
2050,12,18,A1B,289.87
2051,12,18,A1B,288.63
2052,12,18,A1B,291.32
2053,12,18,A1B,289.94
2054,12,18,A1B,288.73
2055,12,18,A1B,292.05
2056,12,18,A1B,291.29
2057,12,18,A1B,290.23
2058,12,18,A1B,290.54
2059,12,18,A1B,290.76
2060,12,18,A1B,290.9
2061,12,18,A1B,291.56
2062,12,18,A1B,290.63
2063,12,18,A1B,290.64
2064,12,18,A1B,290.92
2065,12,18,A1B,289.47
2066,12,18,A1B,289.62
2067,12,18,A1B,289.11
2068,12,18,A1B,292.7
2069,12,18,A1B,291.38
2070,12,18,A1B,291.37
2071,12,18,A1B,291.46
2072,12,18,A1B,289.96
2073,12,18,A1B,292.12
2074,12,18,A1B,291.44
2075,12,18,A1B,292.06
2076,12,18,A1B,291.56
2077,12,18,A1B,291.67
2078,12,18,A1B,290.43
2079,12,18,A1B,290.61
2080,12,18,A1B,292.01
2081,12,18,A1B,291.96
2082,12,18,A1B,291.5
2083,12,18,A1B,290.24
2084,12,18,A1B,291.29
2085,12,18,A1B,291.91
2086,12,18,A1B,290.72
2087,12,18,A1B,292.39
2088,12,18,A1B,291.14
2089,12,18,A1B,290.17
2090,12,18,A1B,291.43
2091,12,18,A1B,292.58
2092,12,18,A1B,291.75
2093,12,18,A1B,290.17
2094,12,18,A1B,292.72
2095,12,18,A1B,291.26
2096,12,18,A1B,289.77
2097,12,18,A1B,292.16
2098,12,18,A1B,292.56
2099,12,18,A1B,290.83
2100,12,18,A1B,290.65
2001,1,21,A1B,280.84
2002,1,21,A1B,284.25
2003,1,21,A1B,283.49
2004,1,21,A1B,281.36
2005,1,21,A1B,282.29
2006,1,21,A1B,281.71
2007,1,21,A1B,279.18
2008,1,21,A1B,283.7
2009,1,21,A1B,281.19
2010,1,21,A1B,283.05
2011,1,21,A1B,281.67
2012,1,21,A1B,283.11
2013,1,21,A1B,281.51
2014,1,21,A1B,281.73
2015,1,21,A1B,282.13
2016,1,21,A1B,284.05
2017,1,21,A1B,281.92
2018,1,21,A1B,280.28
2019,1,21,A1B,282.66
2020,1,21,A1B,283.14
2021,1,21,A1B,282.94
2022,1,21,A1B,282.46
2023,1,21,A1B,283.24
2024,1,21,A1B,282.9
2025,1,21,A1B,281.97
2026,1,21,A1B,281.71
2027,1,21,A1B,280.82
2028,1,21,A1B,282.78
2029,1,21,A1B,282.79
2030,1,21,A1B,282.39
2031,1,21,A1B,280.61
2032,1,21,A1B,278.94
2033,1,21,A1B,280.37
2034,1,21,A1B,282.14
2035,1,21,A1B,282.96
2036,1,21,A1B,282.51
2037,1,21,A1B,283.2
2038,1,21,A1B,282.08
2039,1,21,A1B,281.88
2040,1,21,A1B,281.64
2041,1,21,A1B,283.6
2042,1,21,A1B,283.6
2043,1,21,A1B,281.7
2044,1,21,A1B,282.92
2045,1,21,A1B,283.92
2046,1,21,A1B,282.91
2047,1,21,A1B,283.33
2048,1,21,A1B,282.19
2049,1,21,A1B,281.86
2050,1,21,A1B,284.25
2051,1,21,A1B,284.39
2052,1,21,A1B,283.01
2053,1,21,A1B,281.27
2054,1,21,A1B,283.73
2055,1,21,A1B,282.59
2056,1,21,A1B,282.25
2057,1,21,A1B,281.82
2058,1,21,A1B,282.37
2059,1,21,A1B,283.12
2060,1,21,A1B,283.92
2061,1,21,A1B,284.17
2062,1,21,A1B,283.62
2063,1,21,A1B,282.21
2064,1,21,A1B,284.36
2065,1,21,A1B,283.54
2066,1,21,A1B,282.83
2067,1,21,A1B,284.03
2068,1,21,A1B,282.43
2069,1,21,A1B,285.13
2070,1,21,A1B,283.87
2071,1,21,A1B,284.96
2072,1,21,A1B,284.96
2073,1,21,A1B,285.35
2074,1,21,A1B,284.09
2075,1,21,A1B,283.27
2076,1,21,A1B,284.48
2077,1,21,A1B,283.55
2078,1,21,A1B,283.44
2079,1,21,A1B,282.81
2080,1,21,A1B,283.48
2081,1,21,A1B,282.55
2082,1,21,A1B,283.42
2083,1,21,A1B,282.22
2084,1,21,A1B,280.84
2085,1,21,A1B,284.19
2086,1,21,A1B,285.74
2087,1,21,A1B,280.71
2088,1,21,A1B,285.24
2089,1,21,A1B,283.11
2090,1,21,A1B,283.18
2091,1,21,A1B,285.64
2092,1,21,A1B,283.96
2093,1,21,A1B,282.11
2094,1,21,A1B,284.37
2095,1,21,A1B,283.56
2096,1,21,A1B,281.75
2097,1,21,A1B,282.89
2098,1,21,A1B,282.31
2099,1,21,A1B,282.23
2100,1,21,A1B,283.84
2001,2,21,A1B,283.32
2002,2,21,A1B,285.17
2003,2,21,A1B,283.7
2004,2,21,A1B,285.16
2005,2,21,A1B,283.25
2006,2,21,A1B,282.65
2007,2,21,A1B,281.89
2008,2,21,A1B,283.6
2009,2,21,A1B,282.09
2010,2,21,A1B,284
2011,2,21,A1B,283.79
2012,2,21,A1B,285.55
2013,2,21,A1B,283.79
2014,2,21,A1B,284.29
2015,2,21,A1B,283.41
2016,2,21,A1B,283.61
2017,2,21,A1B,283.67
2018,2,21,A1B,281.02
2019,2,21,A1B,284.48
2020,2,21,A1B,279.18
2021,2,21,A1B,284.41
2022,2,21,A1B,283.92
2023,2,21,A1B,284.67
2024,2,21,A1B,282.89
2025,2,21,A1B,283.44
2026,2,21,A1B,285.67
2027,2,21,A1B,283.96
2028,2,21,A1B,283.33
2029,2,21,A1B,285.04
2030,2,21,A1B,283.46
2031,2,21,A1B,282.68
2032,2,21,A1B,283.5
2033,2,21,A1B,283.86
2034,2,21,A1B,282.32
2035,2,21,A1B,283.29
2036,2,21,A1B,284.76
2037,2,21,A1B,287.87
2038,2,21,A1B,285.38
2039,2,21,A1B,283
2040,2,21,A1B,284.28
2041,2,21,A1B,283.35
2042,2,21,A1B,282.83
2043,2,21,A1B,285.68
2044,2,21,A1B,286.48
2045,2,21,A1B,285.93
2046,2,21,A1B,285.13
2047,2,21,A1B,284.06
2048,2,21,A1B,282.91
2049,2,21,A1B,283.95
2050,2,21,A1B,284.85
2051,2,21,A1B,283.56
2052,2,21,A1B,282.98
2053,2,21,A1B,283
2054,2,21,A1B,286.05
2055,2,21,A1B,281.99
2056,2,21,A1B,285.57
2057,2,21,A1B,282.88
2058,2,21,A1B,282.12
2059,2,21,A1B,284.94
2060,2,21,A1B,284.11
2061,2,21,A1B,283.54
2062,2,21,A1B,283.11
2063,2,21,A1B,281.67
2064,2,21,A1B,286.23
2065,2,21,A1B,284.74
2066,2,21,A1B,284.69
2067,2,21,A1B,285.37
2068,2,21,A1B,284.15
2069,2,21,A1B,286.31
2070,2,21,A1B,286.03
2071,2,21,A1B,284.48
2072,2,21,A1B,286.22
2073,2,21,A1B,288.67
2074,2,21,A1B,287.44
2075,2,21,A1B,284.57
2076,2,21,A1B,284.17
2077,2,21,A1B,285.77
2078,2,21,A1B,286.64
2079,2,21,A1B,284.46
2080,2,21,A1B,285.17
2081,2,21,A1B,283.33
2082,2,21,A1B,284.43
2083,2,21,A1B,285.18
2084,2,21,A1B,283.28
2085,2,21,A1B,286.77
2086,2,21,A1B,285.56
2087,2,21,A1B,282.64
2088,2,21,A1B,286.26
2089,2,21,A1B,284.87
2090,2,21,A1B,286.17
2091,2,21,A1B,286.13
2092,2,21,A1B,286.81
2093,2,21,A1B,286.62
2094,2,21,A1B,284.04
2095,2,21,A1B,283.44
2096,2,21,A1B,285.71
2097,2,21,A1B,285.99
2098,2,21,A1B,288.26
2099,2,21,A1B,285.33
2100,2,21,A1B,285.22
2001,3,21,A1B,286.7
2002,3,21,A1B,287.66
2003,3,21,A1B,289.58
2004,3,21,A1B,287.08
2005,3,21,A1B,285.33
2006,3,21,A1B,287.37
2007,3,21,A1B,285.18
2008,3,21,A1B,286.03
2009,3,21,A1B,285.58
2010,3,21,A1B,288.48
2011,3,21,A1B,285.46
2012,3,21,A1B,286.44
2013,3,21,A1B,286.3
2014,3,21,A1B,288.56
2015,3,21,A1B,287.26
2016,3,21,A1B,285.01
2017,3,21,A1B,286.16
2018,3,21,A1B,284.51
2019,3,21,A1B,285.06
2020,3,21,A1B,286.01
2021,3,21,A1B,287.68
2022,3,21,A1B,288.8
2023,3,21,A1B,285.13
2024,3,21,A1B,286.67
2025,3,21,A1B,285.32
2026,3,21,A1B,288.39
2027,3,21,A1B,288.09
2028,3,21,A1B,286.84
2029,3,21,A1B,289.61
2030,3,21,A1B,287.17
2031,3,21,A1B,288.74
2032,3,21,A1B,288.34
2033,3,21,A1B,285.98
2034,3,21,A1B,286.48
2035,3,21,A1B,288.2
2036,3,21,A1B,286.83
2037,3,21,A1B,287.45
2038,3,21,A1B,290.09
2039,3,21,A1B,289.52
2040,3,21,A1B,289.12
2041,3,21,A1B,289.47
2042,3,21,A1B,289.24
2043,3,21,A1B,287.58
2044,3,21,A1B,286.95
2045,3,21,A1B,288.47
2046,3,21,A1B,288.65
2047,3,21,A1B,287.56
2048,3,21,A1B,288.37
2049,3,21,A1B,288.24
2050,3,21,A1B,288.63
2051,3,21,A1B,288.2
2052,3,21,A1B,287.07
2053,3,21,A1B,287.21
2054,3,21,A1B,285.5
2055,3,21,A1B,287
2056,3,21,A1B,287.71
2057,3,21,A1B,287.44
2058,3,21,A1B,287.89
2059,3,21,A1B,290.02
2060,3,21,A1B,290.37
2061,3,21,A1B,288.61
2062,3,21,A1B,286.76
2063,3,21,A1B,289.28
2064,3,21,A1B,291.23
2065,3,21,A1B,288.51
2066,3,21,A1B,286.19
2067,3,21,A1B,288.01
2068,3,21,A1B,290.12
2069,3,21,A1B,289.46
2070,3,21,A1B,290.62
2071,3,21,A1B,288.08
2072,3,21,A1B,288.65
2073,3,21,A1B,289.79
2074,3,21,A1B,290.76
2075,3,21,A1B,286.79
2076,3,21,A1B,287.76
2077,3,21,A1B,292.25
2078,3,21,A1B,289.11
2079,3,21,A1B,286.5
2080,3,21,A1B,289.91
2081,3,21,A1B,289.08
2082,3,21,A1B,288.45
2083,3,21,A1B,287.46
2084,3,21,A1B,288.68
2085,3,21,A1B,292.54
2086,3,21,A1B,291.53
2087,3,21,A1B,287.08
2088,3,21,A1B,288.56
2089,3,21,A1B,289.62
2090,3,21,A1B,289.02
2091,3,21,A1B,289.92
2092,3,21,A1B,290.52
2093,3,21,A1B,289.48
2094,3,21,A1B,288.62
2095,3,21,A1B,287.92
2096,3,21,A1B,289.79
2097,3,21,A1B,288.83
2098,3,21,A1B,290.99
2099,3,21,A1B,289.36
2100,3,21,A1B,292.47
2001,4,21,A1B,286.36
2002,4,21,A1B,287.01
2003,4,21,A1B,290.04
2004,4,21,A1B,288.94
2005,4,21,A1B,288.08
2006,4,21,A1B,290.1
2007,4,21,A1B,290.03
2008,4,21,A1B,288.21
2009,4,21,A1B,289.4
2010,4,21,A1B,286.84
2011,4,21,A1B,289.25
2012,4,21,A1B,290.68
2013,4,21,A1B,290.52
2014,4,21,A1B,288.75
2015,4,21,A1B,289.19
2016,4,21,A1B,288.46
2017,4,21,A1B,287.34
2018,4,21,A1B,289.75
2019,4,21,A1B,290.26
2020,4,21,A1B,291.1
2021,4,21,A1B,289.03
2022,4,21,A1B,289.33
2023,4,21,A1B,290.64
2024,4,21,A1B,290.51
2025,4,21,A1B,292.96
2026,4,21,A1B,288.91
2027,4,21,A1B,290.52
2028,4,21,A1B,289.12
2029,4,21,A1B,290.92
2030,4,21,A1B,291.77
2031,4,21,A1B,290.29
2032,4,21,A1B,290.71
2033,4,21,A1B,287.19
2034,4,21,A1B,289.89
2035,4,21,A1B,287.87
2036,4,21,A1B,290.34
2037,4,21,A1B,289.7
2038,4,21,A1B,288.9
2039,4,21,A1B,292.31
2040,4,21,A1B,291.34
2041,4,21,A1B,289.53
2042,4,21,A1B,289.33
2043,4,21,A1B,291.87
2044,4,21,A1B,291.06
2045,4,21,A1B,292.04
2046,4,21,A1B,290.98
2047,4,21,A1B,291.22
2048,4,21,A1B,291.98
2049,4,21,A1B,288.03
2050,4,21,A1B,290.81
2051,4,21,A1B,289.56
2052,4,21,A1B,292.26
2053,4,21,A1B,291.08
2054,4,21,A1B,289.39
2055,4,21,A1B,290.45
2056,4,21,A1B,290.21
2057,4,21,A1B,290.08
2058,4,21,A1B,289.84
2059,4,21,A1B,291.54
2060,4,21,A1B,291.14
2061,4,21,A1B,289.77
2062,4,21,A1B,290.43
2063,4,21,A1B,292.29
2064,4,21,A1B,295.06
2065,4,21,A1B,289.5
2066,4,21,A1B,294.01
2067,4,21,A1B,290.92
2068,4,21,A1B,292.36
2069,4,21,A1B,293.86
2070,4,21,A1B,291.5
2071,4,21,A1B,292.67
2072,4,21,A1B,289.97
2073,4,21,A1B,292.81
2074,4,21,A1B,289.79
2075,4,21,A1B,295.15
2076,4,21,A1B,290.2
2077,4,21,A1B,291.53
2078,4,21,A1B,290.8
2079,4,21,A1B,290.83
2080,4,21,A1B,292.15
2081,4,21,A1B,292.41
2082,4,21,A1B,293.95
2083,4,21,A1B,292.22
2084,4,21,A1B,293.31
2085,4,21,A1B,294.12
2086,4,21,A1B,292.75
2087,4,21,A1B,290.12
2088,4,21,A1B,291.04
2089,4,21,A1B,293.29
2090,4,21,A1B,292.39
2091,4,21,A1B,294.14
2092,4,21,A1B,293.67
2093,4,21,A1B,293.2
2094,4,21,A1B,291.75
2095,4,21,A1B,292.13
2096,4,21,A1B,293.06
2097,4,21,A1B,293.43
2098,4,21,A1B,292.32
2099,4,21,A1B,292.73
2100,4,21,A1B,293.46
2001,5,21,A1B,290.58
2002,5,21,A1B,289.96
2003,5,21,A1B,290.22
2004,5,21,A1B,290.82
2005,5,21,A1B,289.38
2006,5,21,A1B,289.92
2007,5,21,A1B,292.03
2008,5,21,A1B,289.46
2009,5,21,A1B,290.61
2010,5,21,A1B,289.69
2011,5,21,A1B,290.76
2012,5,21,A1B,290.39
2013,5,21,A1B,291.44
2014,5,21,A1B,289.3
2015,5,21,A1B,290.59
2016,5,21,A1B,289.57
2017,5,21,A1B,288.94
2018,5,21,A1B,291.42
2019,5,21,A1B,289.75
2020,5,21,A1B,291.8
2021,5,21,A1B,289.72
2022,5,21,A1B,288.62
2023,5,21,A1B,290.97
2024,5,21,A1B,290.18
2025,5,21,A1B,292.44
2026,5,21,A1B,287.77
2027,5,21,A1B,288.6
2028,5,21,A1B,289.56
2029,5,21,A1B,291.56
2030,5,21,A1B,292.07
2031,5,21,A1B,289.08
2032,5,21,A1B,290.79
2033,5,21,A1B,291.12
2034,5,21,A1B,291.9
2035,5,21,A1B,290.67
2036,5,21,A1B,292.77
2037,5,21,A1B,290.01
2038,5,21,A1B,289.82
2039,5,21,A1B,291.18
2040,5,21,A1B,291.65
2041,5,21,A1B,290.9
2042,5,21,A1B,290.86
2043,5,21,A1B,291.96
2044,5,21,A1B,291.55
2045,5,21,A1B,292.11
2046,5,21,A1B,289.34
2047,5,21,A1B,289.48
2048,5,21,A1B,291.81
2049,5,21,A1B,292.25
2050,5,21,A1B,290.32
2051,5,21,A1B,289.89
2052,5,21,A1B,292.93
2053,5,21,A1B,292.68
2054,5,21,A1B,292.02
2055,5,21,A1B,291.71
2056,5,21,A1B,292.57
2057,5,21,A1B,292.39
2058,5,21,A1B,292.5
2059,5,21,A1B,291.18
2060,5,21,A1B,293.71
2061,5,21,A1B,291.28
2062,5,21,A1B,290.2
2063,5,21,A1B,292.51
2064,5,21,A1B,294.07
2065,5,21,A1B,291.02
2066,5,21,A1B,293.4
2067,5,21,A1B,291.68
2068,5,21,A1B,294.95
2069,5,21,A1B,293.62
2070,5,21,A1B,292.24
2071,5,21,A1B,291.21
2072,5,21,A1B,291.88
2073,5,21,A1B,292.06
2074,5,21,A1B,292.06
2075,5,21,A1B,292.72
2076,5,21,A1B,292.09
2077,5,21,A1B,292.82
2078,5,21,A1B,294.34
2079,5,21,A1B,292.98
2080,5,21,A1B,291.99
2081,5,21,A1B,294.14
2082,5,21,A1B,293.09
2083,5,21,A1B,292.92
2084,5,21,A1B,293.96
2085,5,21,A1B,292.67
2086,5,21,A1B,294.46
2087,5,21,A1B,291.97
2088,5,21,A1B,292.26
2089,5,21,A1B,292.29
2090,5,21,A1B,293.75
2091,5,21,A1B,294.56
2092,5,21,A1B,293.52
2093,5,21,A1B,294.2
2094,5,21,A1B,292
2095,5,21,A1B,293.74
2096,5,21,A1B,292.49
2097,5,21,A1B,293.19
2098,5,21,A1B,292.62
2099,5,21,A1B,294.52
2100,5,21,A1B,292.28
2001,6,21,A1B,290.26
2002,6,21,A1B,291.02
2003,6,21,A1B,290.04
2004,6,21,A1B,290.41
2005,6,21,A1B,290.03
2006,6,21,A1B,288.31
2007,6,21,A1B,290.19
2008,6,21,A1B,290.42
2009,6,21,A1B,290.1
2010,6,21,A1B,290.21
2011,6,21,A1B,291.04
2012,6,21,A1B,289.94
2013,6,21,A1B,290.27
2014,6,21,A1B,290.48
2015,6,21,A1B,289.55
2016,6,21,A1B,289.29
2017,6,21,A1B,290.22
2018,6,21,A1B,291.13
2019,6,21,A1B,292.68
2020,6,21,A1B,290.63
2021,6,21,A1B,289.8
2022,6,21,A1B,290.84
2023,6,21,A1B,290.7
2024,6,21,A1B,290.75
2025,6,21,A1B,291.39
2026,6,21,A1B,290.62
2027,6,21,A1B,289.75
2028,6,21,A1B,289.85
2029,6,21,A1B,289.63
2030,6,21,A1B,291.32
2031,6,21,A1B,292.67
2032,6,21,A1B,290.35
2033,6,21,A1B,290.17
2034,6,21,A1B,290.53
2035,6,21,A1B,289.77
2036,6,21,A1B,291.29
2037,6,21,A1B,290.72
2038,6,21,A1B,290.87
2039,6,21,A1B,290.96
2040,6,21,A1B,291.05
2041,6,21,A1B,291.58
2042,6,21,A1B,290.53
2043,6,21,A1B,291.3
2044,6,21,A1B,291.93
2045,6,21,A1B,291.71
2046,6,21,A1B,291.58
2047,6,21,A1B,293.61
2048,6,21,A1B,291.72
2049,6,21,A1B,290.71
2050,6,21,A1B,290.27
2051,6,21,A1B,290.34
2052,6,21,A1B,289.59
2053,6,21,A1B,291.97
2054,6,21,A1B,292.95
2055,6,21,A1B,290.74
2056,6,21,A1B,291.27
2057,6,21,A1B,291.4
2058,6,21,A1B,291.07
2059,6,21,A1B,290.51
2060,6,21,A1B,292.99
2061,6,21,A1B,289.12
2062,6,21,A1B,291.22
2063,6,21,A1B,292.12
2064,6,21,A1B,292.2
2065,6,21,A1B,291.39
2066,6,21,A1B,291.82
2067,6,21,A1B,292.78
2068,6,21,A1B,292.77
2069,6,21,A1B,291.88
2070,6,21,A1B,292.02
2071,6,21,A1B,291.59
2072,6,21,A1B,291.71
2073,6,21,A1B,292.45
2074,6,21,A1B,291.86
2075,6,21,A1B,291.53
2076,6,21,A1B,292.1
2077,6,21,A1B,292.78
2078,6,21,A1B,293.2
2079,6,21,A1B,291.87
2080,6,21,A1B,290.23
2081,6,21,A1B,292.54
2082,6,21,A1B,293.23
2083,6,21,A1B,292.03
2084,6,21,A1B,292.63
2085,6,21,A1B,292.46
2086,6,21,A1B,291.77
2087,6,21,A1B,293.37
2088,6,21,A1B,291.68
2089,6,21,A1B,293.9
2090,6,21,A1B,292.57
2091,6,21,A1B,292.29
2092,6,21,A1B,292.53
2093,6,21,A1B,291.74
2094,6,21,A1B,292.47
2095,6,21,A1B,292.84
2096,6,21,A1B,292.9
2097,6,21,A1B,292.84
2098,6,21,A1B,292.23
2099,6,21,A1B,292.83
2100,6,21,A1B,292.22
2001,7,21,A1B,289.77
2002,7,21,A1B,289.54
2003,7,21,A1B,289.84
2004,7,21,A1B,289.42
2005,7,21,A1B,288.78
2006,7,21,A1B,289.15
2007,7,21,A1B,289.36
2008,7,21,A1B,289.76
2009,7,21,A1B,289.67
2010,7,21,A1B,289.97
2011,7,21,A1B,289.68
2012,7,21,A1B,290.23
2013,7,21,A1B,289.34
2014,7,21,A1B,289.54
2015,7,21,A1B,288.78
2016,7,21,A1B,289.42
2017,7,21,A1B,289.98
2018,7,21,A1B,289.76
2019,7,21,A1B,289.95
2020,7,21,A1B,290.05
2021,7,21,A1B,289.8
2022,7,21,A1B,289.1
2023,7,21,A1B,290.56
2024,7,21,A1B,290.36
2025,7,21,A1B,290.34
2026,7,21,A1B,290.23
2027,7,21,A1B,289.84
2028,7,21,A1B,289.88
2029,7,21,A1B,290.26
2030,7,21,A1B,290.1
2031,7,21,A1B,289.73
2032,7,21,A1B,290.06
2033,7,21,A1B,290.91
2034,7,21,A1B,289.58
2035,7,21,A1B,290.75
2036,7,21,A1B,290.56
2037,7,21,A1B,290.5
2038,7,21,A1B,290.28
2039,7,21,A1B,290.19
2040,7,21,A1B,291.06
2041,7,21,A1B,291.69
2042,7,21,A1B,290.69
2043,7,21,A1B,290.02
2044,7,21,A1B,290.9
2045,7,21,A1B,291.1
2046,7,21,A1B,291.55
2047,7,21,A1B,290.6
2048,7,21,A1B,291.47
2049,7,21,A1B,290.54
2050,7,21,A1B,291.11
2051,7,21,A1B,290.59
2052,7,21,A1B,290.59
2053,7,21,A1B,291.96
2054,7,21,A1B,291.44
2055,7,21,A1B,289.97
2056,7,21,A1B,292.26
2057,7,21,A1B,291.67
2058,7,21,A1B,291.29
2059,7,21,A1B,290.56
2060,7,21,A1B,290.92
2061,7,21,A1B,291.94
2062,7,21,A1B,291.46
2063,7,21,A1B,291.55
2064,7,21,A1B,291.76
2065,7,21,A1B,291.16
2066,7,21,A1B,292.62
2067,7,21,A1B,292.88
2068,7,21,A1B,292.4
2069,7,21,A1B,291.25
2070,7,21,A1B,292.3
2071,7,21,A1B,292.05
2072,7,21,A1B,292.61
2073,7,21,A1B,292.62
2074,7,21,A1B,292.12
2075,7,21,A1B,292.5
2076,7,21,A1B,292.71
2077,7,21,A1B,291.86
2078,7,21,A1B,292.79
2079,7,21,A1B,291.25
2080,7,21,A1B,292.41
2081,7,21,A1B,292.43
2082,7,21,A1B,291.4
