year,month,latitude,scenario,temperature
2078,2,18,COMMITTED,289.12
2079,2,18,COMMITTED,290.72
2080,2,18,COMMITTED,288.7
2081,2,18,COMMITTED,289.31
2082,2,18,COMMITTED,289.75
2083,2,18,COMMITTED,289.57
2084,2,18,COMMITTED,292.56
2085,2,18,COMMITTED,291.52
2086,2,18,COMMITTED,288.21
2087,2,18,COMMITTED,288.58
2088,2,18,COMMITTED,290.58
2089,2,18,COMMITTED,288.21
2090,2,18,COMMITTED,291.39
2091,2,18,COMMITTED,290.32
2092,2,18,COMMITTED,289.35
2093,2,18,COMMITTED,290.23
2094,2,18,COMMITTED,290.25
2095,2,18,COMMITTED,289.47
2096,2,18,COMMITTED,290.76
2097,2,18,COMMITTED,291.11
2098,2,18,COMMITTED,290.54
2099,2,18,COMMITTED,291.46
2100,2,18,COMMITTED,287.94
2001,3,18,COMMITTED,294.34
2002,3,18,COMMITTED,294.58
2003,3,18,COMMITTED,291.11
2004,3,18,COMMITTED,293.57
2005,3,18,COMMITTED,293.89
2006,3,18,COMMITTED,294.83
2007,3,18,COMMITTED,290.28
2008,3,18,COMMITTED,294.67
2009,3,18,COMMITTED,293.77
2010,3,18,COMMITTED,295.56
2011,3,18,COMMITTED,293.67
2012,3,18,COMMITTED,292.98
2013,3,18,COMMITTED,292.12
2014,3,18,COMMITTED,291.95
2015,3,18,COMMITTED,292.26
2016,3,18,COMMITTED,294.73
2017,3,18,COMMITTED,294.94
2018,3,18,COMMITTED,294.1
2019,3,18,COMMITTED,294.55
2020,3,18,COMMITTED,292.83
2021,3,18,COMMITTED,295.54
2022,3,18,COMMITTED,293.59
2023,3,18,COMMITTED,293.87
2024,3,18,COMMITTED,295.71
2025,3,18,COMMITTED,294.48
2026,3,18,COMMITTED,291.98
2027,3,18,COMMITTED,293
2028,3,18,COMMITTED,293.54
2029,3,18,COMMITTED,291.78
2030,3,18,COMMITTED,293.92
2031,3,18,COMMITTED,289.89
2032,3,18,COMMITTED,295.05
2033,3,18,COMMITTED,295.23
2034,3,18,COMMITTED,294.27
2035,3,18,COMMITTED,292.63
2036,3,18,COMMITTED,293.04
2037,3,18,COMMITTED,291.97
2038,3,18,COMMITTED,294.02
2039,3,18,COMMITTED,292.47
2040,3,18,COMMITTED,292.27
2041,3,18,COMMITTED,293.44
2042,3,18,COMMITTED,294.6
2043,3,18,COMMITTED,291.04
2044,3,18,COMMITTED,293.19
2045,3,18,COMMITTED,293.64
2046,3,18,COMMITTED,292.78
2047,3,18,COMMITTED,292.84
2048,3,18,COMMITTED,293.28
2049,3,18,COMMITTED,290.53
2050,3,18,COMMITTED,293.47
2051,3,18,COMMITTED,293.92
2052,3,18,COMMITTED,293.47
2053,3,18,COMMITTED,291.64
2054,3,18,COMMITTED,293.7
2055,3,18,COMMITTED,293.45
2056,3,18,COMMITTED,291.93
2057,3,18,COMMITTED,292.58
2058,3,18,COMMITTED,293.37
2059,3,18,COMMITTED,292.27
2060,3,18,COMMITTED,291.13
2061,3,18,COMMITTED,293.62
2062,3,18,COMMITTED,294.45
2063,3,18,COMMITTED,293.87
2064,3,18,COMMITTED,296.72
2065,3,18,COMMITTED,294.81
2066,3,18,COMMITTED,294.62
2067,3,18,COMMITTED,292.74
2068,3,18,COMMITTED,293.35
2069,3,18,COMMITTED,293.07
2070,3,18,COMMITTED,294.53
2071,3,18,COMMITTED,292.16
2072,3,18,COMMITTED,292.94
2073,3,18,COMMITTED,292.67
2074,3,18,COMMITTED,293.94
2075,3,18,COMMITTED,292.5
2076,3,18,COMMITTED,292.04
2077,3,18,COMMITTED,293.35
2078,3,18,COMMITTED,292.73
2079,3,18,COMMITTED,292.95
2080,3,18,COMMITTED,293.75
2081,3,18,COMMITTED,292.77
2082,3,18,COMMITTED,292.93
2083,3,18,COMMITTED,294.06
2084,3,18,COMMITTED,291.6
2085,3,18,COMMITTED,295.35
2086,3,18,COMMITTED,291.01
2087,3,18,COMMITTED,289.65
2088,3,18,COMMITTED,293.28
2089,3,18,COMMITTED,291.31
2090,3,18,COMMITTED,294.45
2091,3,18,COMMITTED,290.3
2092,3,18,COMMITTED,292.15
2093,3,18,COMMITTED,294.23
2094,3,18,COMMITTED,292.89
2095,3,18,COMMITTED,291.96
2096,3,18,COMMITTED,293.3
2097,3,18,COMMITTED,293.26
2098,3,18,COMMITTED,294.77
2099,3,18,COMMITTED,293.47
2100,3,18,COMMITTED,291.63
2001,4,18,COMMITTED,296.68
2002,4,18,COMMITTED,293.98
2003,4,18,COMMITTED,295.67
2004,4,18,COMMITTED,295.93
2005,4,18,COMMITTED,296.02
2006,4,18,COMMITTED,295.81
2007,4,18,COMMITTED,294.49
2008,4,18,COMMITTED,295.05
2009,4,18,COMMITTED,293.47
2010,4,18,COMMITTED,296.15
2011,4,18,COMMITTED,295.9
2012,4,18,COMMITTED,294.88
2013,4,18,COMMITTED,296.17
2014,4,18,COMMITTED,296.34
2015,4,18,COMMITTED,294.22
2016,4,18,COMMITTED,294.59
2017,4,18,COMMITTED,297.35
2018,4,18,COMMITTED,296.92
2019,4,18,COMMITTED,296.05
2020,4,18,COMMITTED,295.97
2021,4,18,COMMITTED,296.3
2022,4,18,COMMITTED,298.67
2023,4,18,COMMITTED,297.29
2024,4,18,COMMITTED,296.74
2025,4,18,COMMITTED,296.69
2026,4,18,COMMITTED,296.15
2027,4,18,COMMITTED,294.7
2028,4,18,COMMITTED,293.63
2029,4,18,COMMITTED,295.61
2030,4,18,COMMITTED,293.74
2031,4,18,COMMITTED,296.3
2032,4,18,COMMITTED,296.31
2033,4,18,COMMITTED,297.06
2034,4,18,COMMITTED,294.7
2035,4,18,COMMITTED,297.47
2036,4,18,COMMITTED,295.2
