ORGANISM,BIRTH,DEATH,GENDER,HEADSTONE
human,1900,1996,female,small
human,1895,1985,female,small
human,1864,1956,female,small
human,1852,1926,male,small
human,1878,1944,female,small
human,1877,1943,male,small
human,1896,1946,male,small
human,1903,1990,female,small
human,1896,1947,male,small
human,1954,2012,female,large
human,1890,1947,male,large
human,1872,1873,male,large
human,1832,1890,male,small
human,1845,1923,female,small
human,1848,1930,male,small
human,1862,1930,female,small
human,1904,1946,female,small
human,1830,1914,male,large
human,1840,1920,female,large
human,1821,1904,female,large
human,1856,1914,male,large
human,1899,1990,female,large
human,1894,1980,male,large
human,1901,1954,female,large
human,1888,1975,female,large
human,1889,1978,female,large
human,1913,1974,male,large
human,1827,1897,female,large
human,1922,1922,male,large
human,1922,1922,male,large
human,1912,1997,female,large
human,1903,1983,male,large
human,1827,1897,female,large
human,1874,1933,female,large
human,1864,1939,male,large
human,1896,1932,male,large
human,1898,1923,male,large
human,1924,2010,male,small
human,1901,1993,male,small
human,1901,1995,female,small
human,1842,1930,male,small
human,1853,1943,female,small
human,1924,2010,male,small
human,1878,1896,male,small
human,1888,1912,male,small
human,1880,1928,female,small
human,1960,1994,female,small
human,1869,1884,female,small
human,1920,1990,male,small
human,1920,1986,male,small
human,1907,1999,male,small
human,1907,1998,female,small
human,1931,1977,female,small
human,1923,2012,male,large
human,1901,1992,male,large
human,1905,1991,female,large
human,1902,1902,male,small
human,1876,1936,male,small
human,1878,1963,male,small
human,1906,1907,male,small
human,1926,2016,female,large
human,1908,1956,male,large
human,1890,1948,male,large
human,1900,1900,female,large
human,1926,1981,male,large
human,1870,1903,female,large
human,1859,1937,male,large
human,1888,1917,male,large
human,1894,1983,male,large
human,1902,1988,female,large
human,1896,1958,female,large
human,1920,1943,male,large
human,1923,2010,male,large
human,1950,2016,male,large
human,1950,2011,female,large
human,1927,2011,male,small
human,1927,2016,female,small
human,1877,1902,male,small
human,1868,1951,male,large
human,1875,1941,female,large
human,1879,1898,male,large
human,1870,1958,female,small
human,1858,1876,female,small
human,1866,1915,female,large
human,1864,1945,male,large
human,1848,1908,male,small
human,1857,1912,female,small
human,1877,1965,female,small
human,1856,1922,male,small
human,1874,1929,female,small
human,1897,1987,female,small
human,1898,1993,male,small
human,1861,1905,female,small
human,1864,1918,male,small
human,1921,2014,female,small
human,1892,1981,male,small
human,1895,1983,female,small
human,1852,1935,female,small
human,1898,1970,female,small
human,1891,1912,male,small
human,1866,1897,female,large
human,1874,1964,female,small
human,1872,1918,male,small
human,1826,1910,female,large
human,1828,1909,male,large
human,1871,1906,male,large
human,1903,1913,male,large
human,1866,1941,male,large
human,1870,1948,female,large
human,1879,1912,male,large
human,1854,1895,male,large
human,1879,1951,male,large
human,1888,1976,female,small
human,1880,1978,male,small
human,1885,1949,male,small
human,1891,1929,female,small
human,1861,1922,female,small
human,1857,1944,male,small
human,1925,2007,male,large
human,1935,2010,female,large
human,1921,1997,female,small
human,1915,1974,male,small
human,1907,1930,female,large
human,1869,1935,male,large
human,1877,1954,female,large
human,1854,1909,female,large
human,1888,1952,male,small
human,1862,1922,female,small
human,1856,1910,male,small
human,1890,1942,male,small
human,1918,1994,male,small
human,1906,1964,male,small
human,1936,1945,male,small
human,1933,2008,male,small
human,1912,1997,female,small
human,1910,1991,male,small
human,1906,1980,male,small
human,1919,2001,female,small
human,1871,1906,female,small
human,1861,1928,female,small
human,1875,1946,female,small
human,1870,1967,female,small
human,1835,1910,male,small
human,1838,1890,female,small
human,1865,1908,male,small
human,1869,1926,female,small
human,1897,1913,male,small
human,1867,1960,male,small
human,1862,1932,male,small
human,1918,2001,female,small
human,1893,1989,female,small
human,1887,1971,male,small
human,1924,2004,male,small
human,1927,2013,female,small
human,1840,1893,male,small
human,1841,1925,female,small
human,1851,1917,male,large
human,1875,1928,female,large
human,1876,1961,male,large
human,1824,1893,male,large
human,1871,1964,female,small
human,1870,1940,male,small
human,1848,1900,female,small
human,1903,1991,female,small
human,1896,1960,male,small
human,1800,1890,male,small
human,1902,1989,female,small
human,1858,1937,female,small
human,1834,1916,female,large
human,1827,1892,male,large
human,1911,1999,male,small
human,1925,1979,male,small
human,1933,1996,male,large
human,1934,1992,female,large
human,1946,1982,male,small
human,1914,2004,male,small
human,1914,2004,male,small
human,1836,1921,female,small
human,1870,1924,female,small
human,1916,1918,male,small
human,1928,1976,male,small
human,1880,1968,male,small
human,1881,1958,female,small
human,1958,1964,male,small
human,1817,1892,female,small
human,1917,1997,male,small
human,1914,1984,male,small
human,1872,1944,female,small
human,1863,1895,female,small
human,1921,2002,male,small
human,1855,1890,male,large
human,1890,1891,female,small
human,1981,2004,female,small
human,1892,1993,male,small
human,1906,1993,female,small
human,1900,1959,male,small
human,1867,1944,female,large
human,1868,1937,male,large
human,1925,1996,female,small
human,1894,1956,female,small
human,1861,1939,female,small
human,1836,1903,female,large
human,1834,1927,male,large
human,1910,1981,male,large
human,1980,1987,male,small
human,1924,1981,female,small
human,1922,2000,male,small
human,1920,1998,male,small
human,1924,2003,female,small
human,1854,1923,female,large
human,1848,1920,male,large
human,1867,1897,female,large
human,1863,1897,male,large
human,1931,2016,female,small
human,1904,1996,female,small
human,1905,1989,male,small
human,1907,1988,female,small
human,1986,2012,male,large
human,1860,1887,male,large
human,1864,1898,male,large
human,1938,1988,female,small
human,1919,1968,female,small
