,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,242.96,245.49,246.14,240.80
2002,1,244.68,242.42,244.13,241.51
2003,1,244.52,240.70,247.81,244.05
2004,1,248.49,243.23,237.66,241.77
2005,1,245.24,248.91,246.05,237.95
2006,1,246.50,245.61,241.47,249.85
2007,1,234.30,252.55,246.34,250.24
2008,1,247.28,240.88,240.27,249.53
2009,1,237.10,243.12,248.52,240.06
2010,1,246.06,238.93,249.49,238.17
2011,1,243.05,246.13,242.60,243.63
2012,1,243.73,241.56,244.86,251.39
2013,1,244.72,248.27,248.07,241.14
2014,1,246.12,244.90,245.91,245.98
2015,1,238.77,243.07,258.24,248.81
2016,1,242.78,245.42,245.45,250.07
2017,1,240.35,244.79,246.21,235.92
2018,1,255.85,253.99,248.38,243.60
2019,1,246.09,239.93,240.20,243.41
2020,1,243.94,240.83,247.04,240.99
2021,1,241.41,250.28,249.79,238.05
2022,1,236.70,252.57,241.32,246.05
2023,1,243.35,248.27,253.74,241.48
2024,1,245.41,243.88,253.06,245.94
2025,1,242.32,248.31,244.56,243.17
2026,1,241.59,253.72,249.04,242.27
2027,1,244.84,244.50,248.71,250.00
2028,1,244.17,244.41,253.97,244.40
2029,1,248.72,242.63,248.51,248.13
2030,1,242.62,245.25,246.29,248.52
2031,1,248.04,244.65,243.71,254.19
2032,1,239.52,253.31,244.27,243.23
2033,1,242.27,251.95,245.88,238.81
2034,1,243.02,248.26,239.38,245.40
2035,1,246.53,250.75,252.02,239.76
2036,1,243.38,252.84,247.08,242.05
2037,1,245.66,248.86,248.95,254.22
2038,1,241.66,242.64,251.25,241.46
2039,1,255.97,253.05,254.93,246.00
2040,1,251.11,243.30,245.22,250.77
2041,1,247.84,240.97,250.46,250.16
2042,1,239.51,247.84,244.89,246.99
2043,1,246.36,247.01,249.12,246.85
2044,1,243.15,247.81,254.23,248.34
2045,1,241.19,248.85,247.30,248.83
2046,1,244.84,250.10,251.52,246.43
2047,1,242.29,247.61,249.80,245.35
2048,1,249.33,249.56,249.16,251.45
2049,1,237.99,244.88,244.06,249.55
2050,1,252.48,243.48,242.64,245.59
2051,1,237.86,248.17,251.12,240.62
2052,1,248.53,252.58,244.39,254.71
2053,1,252.88,250.37,245.10,251.17
2054,1,246.20,248.84,247.56,246.43
2055,1,246.97,249.83,245.97,244.79
2056,1,249.64,238.25,249.65,250.71
2057,1,245.37,251.71,244.99,247.69
2058,1,248.80,252.09,251.12,250.55
2059,1,248.46,247.83,253.37,249.30
2060,1,252.35,251.05,257.10,251.82
2061,1,243.70,248.79,256.84,249.79
2062,1,242.38,256.96,250.73,245.61
2063,1,246.02,248.48,252.26,248.40
2064,1,245.99,247.62,257.51,242.16
2065,1,242.53,245.73,253.16,253.01
2066,1,243.58,253.03,241.57,249.48
2067,1,247.07,246.26,247.61,250.21
2068,1,251.06,254.58,253.40,255.54
2069,1,242.43,252.61,251.02,246.10
2070,1,253.02,261.23,260.89,255.04
2071,1,246.70,249.81,252.27,239.69
2072,1,240.71,246.60,247.39,243.83
2073,1,244.73,241.11,246.41,245.44
2074,1,250.23,250.01,250.95,248.79
