,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2051,2,277.69,274.85,281.06,275.52
2052,2,277.25,275.94,275.43,270.32
2053,2,274.60,275.67,273.08,276.12
2054,2,273.35,277.10,275.82,274.30
2055,2,272.89,273.28,271.83,274.35
2056,2,275.32,276.16,276.59,275.15
2057,2,273.50,277.15,275.87,275.24
2058,2,272.19,277.71,271.12,274.35
2059,2,274.41,278.51,278.52,275.51
2060,2,274.07,276.41,276.01,276.83
2061,2,276.63,275.91,277.28,274.64
2062,2,274.91,274.93,274.34,273.34
2063,2,277.91,278.14,276.25,277.20
2064,2,277.08,273.48,274.11,277.70
2065,2,275.15,276.22,278.32,274.71
2066,2,271.58,277.07,275.61,276.19
2067,2,277.66,276.48,271.52,273.13
2068,2,271.94,273.88,275.12,277.25
2069,2,274.89,270.85,276.26,275.63
2070,2,277.42,277.64,276.90,273.71
2071,2,274.35,279.08,273.96,274.70
2072,2,271.73,273.23,274.18,277.05
2073,2,274.50,275.73,275.23,271.14
2074,2,273.13,275.06,277.67,275.52
2075,2,272.81,276.45,277.04,278.46
2076,2,273.83,275.32,276.65,278.95
2077,2,275.74,276.43,278.32,274.12
2078,2,268.64,275.04,275.98,279.31
2079,2,274.66,275.60,277.87,274.83
2080,2,274.91,277.59,277.06,275.83
2081,2,273.37,275.45,278.20,275.16
2082,2,276.36,273.87,278.66,275.49
2083,2,275.26,277.36,277.42,275.58
2084,2,276.01,275.06,278.35,274.79
2085,2,272.97,278.92,278.36,277.99
2086,2,275.23,276.81,274.62,276.62
2087,2,273.59,279.42,277.25,273.98
2088,2,268.92,275.32,279.73,274.77
2089,2,276.58,279.70,278.47,275.67
2090,2,272.53,276.41,277.28,277.65
2091,2,277.68,278.03,278.36,276.18
2092,2,276.42,277.39,276.13,276.17
2093,2,275.81,274.72,274.60,278.04
2094,2,271.72,274.34,280.83,275.59
2095,2,269.45,277.76,277.46,275.84
2096,2,275.76,274.16,278.57,275.08
2097,2,276.22,280.43,278.47,274.97
2098,2,274.71,276.98,275.95,279.07
2099,2,277.78,276.92,278.57,274.28
2100,2,275.79,278.93,280.58,272.23
2001,3,275.06,277.26,277.42,277.87
2002,3,274.24,278.85,279.10,280.07
2003,3,281.45,279.60,280.14,274.36
2004,3,280.33,281.36,280.89,280.15
2005,3,275.82,277.10,271.29,277.87
2006,3,278.07,275.74,279.04,283.32
2007,3,275.18,278.05,277.48,277.93
2008,3,281.39,279.76,276.78,274.97
2009,3,277.53,277.96,276.84,283.02
2010,3,279.46,275.18,281.06,278.43
2011,3,279.48,278.48,280.74,273.16
2012,3,281.99,278.66,277.43,277.36
2013,3,275.99,277.37,277.65,279.63
2014,3,277.65,277.30,279.92,280.13
2015,3,281.09,279.86,279.33,278.78
2016,3,279.73,280.11,277.65,283.12
2017,3,277.43,280.25,274.76,278.68
2018,3,276.97,281.98,280.01,275.71
2019,3,278.55,277.00,274.26,277.85
2020,3,275.74,280.19,280.02,278.18
2021,3,280.02,277.62,279.42,278.97
2022,3,275.29,281.23,278.53,278.01
2023,3,275.06,281.68,276.67,278.81
2024,3,282.70,278.23,281.20,277.19
2025,3,279.71,278.26,281.01,278.54
2026,3,275.45,279.86,279.61,280.25
2027,3,279.24,279.13,278.99,280.89
2028,3,273.34,276.48,280.16,275.96
2029,3,281.34,276.52,280.38,280.11
2030,3,279.69,277.78,281.19,279.39
2031,3,281.61,282.90,272.48,280.73
2032,3,277.70,276.46,279.83,276.10
2033,3,279.11,278.97,280.76,280.91
2034,3,275.20,277.62,275.81,280.71
2035,3,274.76,278.84,279.46,279.42
2036,3,281.93,280.38,279.11,280.63
2037,3,283.00,279.98,280.40,279.86
2038,3,275.54,279.32,280.52,280.16
2039,3,278.70,276.33,277.98,276.08
2040,3,276.32,277.69,281.19,280.36
2041,3,274.70,280.63,280.42,277.41
2042,3,277.10,281.04,279.87,277.91
2043,3,280.32,280.35,283.87,283.39
2044,3,279.37,281.81,281.85,281.63
2045,3,277.88,277.91,280.18,276.40
2046,3,279.91,278.24,279.81,279.75
2047,3,281.51,278.82,281.20,279.48
2048,3,278.49,281.39,279.88,278.71
2049,3,278.61,281.76,277.76,281.07
2050,3,279.36,279.37,279.90,282.73
2051,3,279.56,279.44,282.15,275.34
2052,3,281.29,280.68,280.35,275.81
2053,3,278.22,281.83,279.78,284.27
2054,3,276.41,281.30,284.07,280.38
2055,3,278.30,279.75,279.06,280.02
2056,3,280.56,279.30,279.00,279.03
2057,3,275.18,280.66,281.27,283.40
2058,3,277.41,278.54,280.80,279.76
2059,3,281.11,279.52,281.12,279.10
2060,3,280.02,276.90,282.41,277.89
2061,3,279.50,278.02,281.06,280.52
2062,3,278.60,274.25,279.64,283.39
2063,3,275.74,282.32,278.75,280.05
2064,3,279.30,278.01,282.86,283.53
2065,3,273.44,280.27,280.85,280.65
2066,3,278.67,283.28,283.36,279.25
2067,3,282.04,280.71,279.51,277.98
2068,3,275.96,279.27,280.20,283.10
2069,3,278.93,278.18,281.79,279.15
2070,3,281.49,279.32,280.42,276.37
2071,3,279.96,279.81,283.91,282.69
2072,3,278.44,279.53,280.09,281.94
2073,3,280.36,280.13,282.08,278.59
2074,3,272.40,281.16,277.96,280.50
2075,3,280.85,277.26,276.01,281.95
2076,3,278.55,282.96,278.79,281.55
2077,3,276.65,279.75,279.05,281.04
2078,3,281.45,280.16,283.43,279.29
2079,3,279.11,281.64,280.86,277.46
2080,3,277.45,277.26,279.33,281.54
2081,3,280.28,279.98,280.52,279.52
2082,3,280.47,281.68,281.15,279.87
2083,3,274.99,280.97,283.71,278.11
2084,3,277.97,280.55,279.48,278.28
2085,3,274.94,280.03,281.50,281.14
2086,3,275.23,280.25,280.48,278.51
2087,3,277.52,283.22,284.45,278.99
2088,3,276.51,281.18,282.09,276.81
2089,3,278.34,280.63,282.99,278.86
2090,3,273.20,281.55,278.54,282.32
2091,3,280.69,283.21,284.99,278.16
2092,3,277.01,277.67,284.57,279.07
2093,3,279.64,279.46,282.67,280.67
2094,3,277.24,277.53,279.13,281.21
2095,3,278.30,284.53,282.67,280.64
2096,3,278.35,279.42,283.95,281.76
2097,3,282.11,279.51,284.26,280.17
2098,3,276.21,277.63,281.95,283.53
2099,3,277.97,276.35,280.24,276.67
2100,3,277.03,282.43,281.76,279.80
2001,4,283.07,287.35,284.73,284.27
2002,4,285.51,285.28,280.99,286.49
2003,4,286.41,285.30,287.99,283.61
2004,4,285.89,281.54,282.42,284.61
2005,4,279.82,286.18,281.44,283.81
2006,4,282.62,285.97,281.62,286.81
2007,4,280.35,282.36,286.65,282.76
2008,4,289.59,285.20,284.10,283.91
2009,4,285.20,285.24,286.39,282.27
2010,4,287.00,286.43,277.65,288.15
2011,4,285.13,282.06,285.69,283.27
2012,4,283.07,283.63,282.76,283.96
2013,4,283.80,283.17,284.44,283.76
2014,4,283.38,286.69,284.01,286.17
2015,4,286.60,283.60,285.37,285.37
2016,4,282.89,286.11,282.91,284.66
2017,4,280.33,286.63,285.92,283.62
2018,4,280.37,285.47,286.63,283.23
2019,4,286.42,285.07,285.86,281.97
2020,4,281.72,284.55,286.86,281.61
2021,4,284.73,284.82,286.10,284.18
2022,4,281.74,285.77,286.23,281.22
2023,4,280.44,286.68,284.57,282.92
2024,4,285.05,282.99,287.02,282.92
2025,4,284.05,282.78,280.64,286.87
2026,4,284.91,284.00,286.51,286.70
2027,4,284.58,286.22,284.06,287.80
2028,4,284.60,286.24,286.73,284.58
2029,4,286.20,283.91,284.10,287.27
2030,4,288.18,284.56,285.60,287.84
2031,4,285.92,285.95,284.86,284.44
2032,4,281.43,286.47,285.41,285.51
2033,4,284.46,288.40,284.23,284.83
2034,4,281.83,281.45,285.09,281.61
2035,4,282.97,284.79,286.65,288.66
2036,4,284.81,279.38,287.91,284.69
2037,4,286.32,285.71,285.53,285.98
2038,4,285.82,284.68,286.47,286.88
2039,4,284.22,285.22,286.69,284.66
2040,4,284.15,282.95,286.49,285.51
2041,4,285.15,283.95,285.44,285.65
2042,4,283.90,286.15,287.69,283.74
2043,4,285.79,286.21,288.50,288.30
2044,4,286.75,287.57,285.32,288.06
2045,4,283.24,284.83,286.54,285.27
2046,4,284.37,288.52,287.17,286.08
2047,4,284.48,286.84,286.72,282.80
2048,4,286.07,289.51,286.03,283.03
2049,4,282.93,286.42,287.05,287.38
2050,4,286.73,287.08,287.59,284.76
2051,4,285.22,285.54,287.27,288.90
2052,4,286.49,285.79,288.83,286.62
2053,4,282.68,283.18,289.06,288.49
2054,4,280.10,285.05,283.48,284.89
2055,4,284.53,287.90,287.38,286.15
2056,4,287.89,284.92,283.71,287.15
2057,4,285.38,288.39,289.53,284.77
2058,4,282.60,286.17,287.41,284.56
2059,4,282.69,290.71,286.59,283.34
2060,4,286.14,287.08,286.35,286.69
2061,4,281.71,285.68,287.05,284.15
2062,4,284.76,288.24,286.56,288.27
2063,4,281.79,283.54,284.59,283.00
2064,4,284.56,285.47,286.13,285.65
2065,4,283.75,288.09,288.86,285.66
2066,4,282.59,288.25,283.13,279.56
2067,4,286.39,288.47,286.28,283.43
2068,4,279.25,284.22,287.19,285.19
2069,4,286.22,287.78,284.68,287.21
2070,4,285.37,287.95,288.25,284.47
2071,4,282.49,287.09,290.86,286.80
2072,4,285.50,287.43,286.57,287.93
2073,4,285.20,287.12,285.70,286.49
2074,4,282.81,288.85,286.46,282.63
2075,4,283.66,286.91,288.09,289.50
2076,4,283.50,285.82,283.43,286.39
2077,4,282.99,289.93,288.56,284.97
2078,4,286.53,287.78,287.04,288.93
2079,4,286.88,289.65,288.08,284.54
