,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,274.78,276.38,275.16,276.63
2002,1,274.89,275.11,275.52,275.74
2003,1,276.06,274.86,273.14,276.35
2004,1,274.79,277.21,276.54,275.41
2005,1,275.98,274.56,276.44,277.03
2006,1,274.96,275.31,275.83,275.83
2007,1,275.17,276.80,273.62,276.25
2008,1,274.71,276.15,277.12,275.98
2009,1,278.63,278.25,276.09,276.44
2010,1,275.66,274.60,277.41,273.52
2011,1,277.56,277.29,274.41,277.96
2012,1,272.56,276.36,276.59,278.78
2013,1,275.51,275.62,275.11,277.05
2014,1,274.61,276.33,276.64,277.67
2015,1,276.25,277.18,275.58,273.80
2016,1,277.33,274.40,276.36,276.03
2017,1,278.36,279.95,273.62,278.75
2018,1,276.33,276.95,275.82,276.26
2019,1,276.21,277.11,279.59,276.35
2020,1,276.15,274.75,276.09,276.33
2021,1,276.01,275.96,275.80,276.22
2022,1,275.21,276.11,274.29,277.91
2023,1,274.32,274.96,274.11,275.75
2024,1,277.31,275.06,274.11,274.58
2025,1,276.11,275.86,279.26,276.12
2026,1,278.17,277.86,276.45,278.71
2027,1,275.94,276.15,274.22,276.90
2028,1,274.48,274.16,277.80,278.39
2029,1,276.05,276.30,274.35,275.34
2030,1,275.33,276.96,275.65,277.00
2031,1,277.28,278.71,276.46,274.04
2032,1,275.47,277.11,275.56,275.22
2033,1,274.77,277.55,278.52,276.85
2034,1,276.82,277.56,277.27,275.11
2035,1,275.85,275.85,276.57,277.75
2036,1,278.53,276.85,274.29,275.65
2037,1,275.23,274.21,277.73,276.77
2038,1,276.74,277.47,276.50,277.64
2039,1,277.02,275.75,275.43,276.47
2040,1,273.98,277.27,278.00,278.62
2041,1,277.04,275.64,278.90,275.75
2042,1,275.81,277.42,279.27,274.88
2043,1,278.31,277.98,276.70,275.20
2044,1,276.52,275.05,277.68,276.35
2045,1,274.52,275.08,275.70,277.28
2046,1,276.95,279.33,277.62,277.27
2047,1,276.12,278.34,278.01,276.44
2048,1,273.74,278.33,279.10,275.50
2049,1,274.63,277.15,277.01,278.00
2050,1,274.85,277.75,278.31,277.51
2051,1,278.11,273.14,278.02,277.66
2052,1,276.42,275.93,274.82,276.00
2053,1,275.76,278.72,273.88,274.95
2054,1,275.63,277.50,275.96,275.82
2055,1,277.68,275.63,274.33,276.11
2056,1,276.02,276.61,276.77,276.24
2057,1,276.13,277.58,278.67,278.04
2058,1,275.37,278.04,277.39,278.49
2059,1,273.71,276.46,279.24,275.06
2060,1,275.75,279.48,278.29,276.00
2061,1,276.50,275.69,277.60,276.21
2062,1,277.02,278.10,278.98,277.09
2063,1,276.26,278.71,274.51,279.56
2064,1,277.09,279.07,278.29,276.83
2065,1,277.08,276.60,278.67,277.56
2066,1,277.27,279.31,278.01,276.48
2067,1,277.41,277.15,278.38,278.49
2068,1,273.31,280.25,279.30,275.50
2069,1,278.86,276.92,277.90,276.79
2070,1,278.16,277.03,277.56,276.90
2071,1,274.37,277.69,278.54,276.80
2072,1,274.94,275.12,277.79,277.68
2073,1,275.49,279.24,276.33,279.36
2074,1,275.02,276.22,277.45,277.73
2075,1,278.13,276.36,280.85,275.14
2076,1,275.69,277.29,280.41,276.73
2077,1,276.75,279.45,277.31,277.35
2078,1,274.48,278.41,277.54,278.07
2079,1,276.18,280.60,277.62,276.15
2080,1,277.87,277.14,280.72,277.50
2081,1,276.27,277.55,277.71,275.81
2082,1,278.00,277.62,281.37,277.31
2083,1,276.65,279.85,280.43,275.63
2084,1,275.07,277.21,280.70,276.87
2085,1,272.78,277.83,277.55,276.71
2086,1,273.91,278.26,275.40,277.36
