,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,236.04,238.34,237.59,235.21
2002,1,242.37,236.42,236.24,234.72
2003,1,239.55,231.26,241.09,235.68
2004,1,235.88,239.62,233.70,230.19
2005,1,239.46,242.05,238.56,238.45
2006,1,234.54,238.71,238.26,235.39
2007,1,231.35,246.82,240.60,240.43
2008,1,235.74,229.81,232.05,241.78
2009,1,230.48,238.84,242.50,231.76
2010,1,240.00,229.21,238.49,233.90
2011,1,232.39,237.82,234.68,235.32
2012,1,240.07,233.13,238.57,243.47
2013,1,235.05,236.99,240.84,233.99
2014,1,236.31,236.75,239.80,233.72
2015,1,226.16,238.78,244.81,242.65
2016,1,235.39,241.97,238.75,236.59
2017,1,237.73,237.67,236.81,232.78
2018,1,250.60,243.83,241.24,233.44
2019,1,239.37,233.68,235.36,233.60
2020,1,236.25,234.17,239.85,238.05
2021,1,232.27,239.96,243.50,234.94
2022,1,229.55,239.55,236.43,237.98
2023,1,239.66,238.31,242.94,231.17
2024,1,239.01,239.94,240.39,235.88
2025,1,232.17,241.34,240.29,236.90
2026,1,227.73,245.25,243.56,234.41
2027,1,234.59,239.99,243.54,241.49
2028,1,235.23,237.11,247.02,239.31
2029,1,238.69,236.45,241.96,237.58
2030,1,234.75,240.90,240.69,239.83
2031,1,238.62,239.01,238.43,242.49
2032,1,230.55,242.29,237.72,236.40
2033,1,234.25,250.83,242.49,232.45
2034,1,241.75,243.25,235.61,239.28
2035,1,234.68,237.95,234.35,237.07
2036,1,233.89,246.06,240.94,226.27
2037,1,239.78,242.15,240.70,237.60
2038,1,232.39,236.83,243.55,227.63
2039,1,242.28,250.44,248.02,236.83
2040,1,243.22,242.56,237.19,236.94
2041,1,238.95,235.73,238.03,242.42
2042,1,230.19,239.31,239.74,239.94
2043,1,238.34,239.23,236.10,240.59
2044,1,236.82,243.74,248.44,237.23
2045,1,235.38,239.31,239.02,237.76
2046,1,236.49,244.63,239.93,239.00
2047,1,233.69,237.16,239.12,235.18
2048,1,239.17,241.97,244.99,247.08
2049,1,232.47,239.51,240.61,242.99
2050,1,240.55,236.40,234.15,238.63
2051,1,232.24,246.36,239.55,237.06
2052,1,238.21,251.07,235.42,239.16
2053,1,244.20,250.77,233.81,241.80
2054,1,236.42,241.52,239.78,240.97
2055,1,241.84,235.61,240.87,237.93
2056,1,237.42,235.15,238.32,241.06
2057,1,241.96,246.07,241.63,237.30
2058,1,237.35,242.41,240.47,240.27
2059,1,238.11,242.22,251.77,236.49
2060,1,244.85,242.41,252.25,240.85
2061,1,237.53,243.76,248.55,244.61
2062,1,234.43,249.58,246.43,238.52
2063,1,232.83,241.57,251.53,237.55
2064,1,235.45,244.60,251.57,238.50
2065,1,235.17,241.18,246.97,243.47
2066,1,237.96,246.91,234.74,243.87
2067,1,237.55,239.04,241.25,243.32
2068,1,243.91,239.64,246.98,244.90
2069,1,238.23,250.36,242.32,240.48
2070,1,243.35,249.90,251.82,245.74
2071,1,236.54,246.93,239.79,236.12
