,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,237.72,239.17,239.53,236.27
2002,1,242.49,236.68,237.69,235.16
2003,1,240.21,232.59,242.93,237.98
2004,1,239.56,239.10,233.96,232.99
2005,1,241.02,242.07,240.07,238.52
2006,1,238.99,240.14,239.02,238.46
2007,1,231.82,248.33,241.82,241.33
2008,1,239.70,231.07,232.15,245.15
2009,1,231.44,238.27,244.51,232.69
2010,1,242.22,230.50,239.15,233.73
2011,1,234.86,239.44,237.53,237.83
2012,1,241.11,233.99,239.27,245.02
2013,1,237.35,239.96,242.61,236.04
2014,1,238.63,238.36,241.79,237.29
2015,1,228.32,239.13,247.72,242.94
2016,1,235.92,243.07,239.50,239.26
2017,1,239.00,237.48,238.30,231.05
2018,1,252.14,246.83,244.42,235.08
2019,1,240.33,234.67,236.89,235.46
2020,1,237.35,235.74,242.05,238.74
2021,1,234.31,242.15,243.01,235.05
2022,1,230.85,243.70,237.81,239.05
2023,1,239.72,240.89,245.98,233.17
2024,1,240.62,240.84,243.61,237.67
2025,1,235.21,241.36,241.80,238.19
2026,1,232.24,248.52,245.02,235.12
2027,1,236.11,241.47,244.35,242.92
2028,1,236.66,238.39,248.71,239.83
2029,1,240.48,236.36,244.81,240.49
2030,1,236.79,242.50,241.99,241.13
2031,1,241.16,239.91,239.34,245.22
2032,1,233.64,245.50,239.00,238.20
2033,1,236.00,250.11,242.88,232.87
2034,1,242.24,244.14,235.43,241.30
2035,1,237.98,241.17,239.51,237.49
2036,1,237.32,247.99,240.71,229.93
2037,1,239.78,243.45,243.19,241.14
2038,1,235.08,237.13,244.99,231.85
2039,1,247.37,252.14,250.31,239.12
2040,1,246.25,243.37,239.23,238.21
2041,1,242.21,236.93,240.37,245.25
2042,1,232.61,241.10,239.64,242.15
2043,1,240.58,240.74,239.10,241.01
2044,1,237.39,244.12,250.81,240.48
2045,1,235.90,241.78,240.10,240.42
2046,1,238.44,244.98,242.06,241.77
2047,1,236.68,241.08,241.90,237.09
2048,1,243.23,243.39,244.84,248.27
2049,1,233.40,240.75,241.74,243.79
2050,1,244.68,237.08,235.56,240.19
2051,1,234.05,246.85,242.10,237.64
2052,1,241.30,250.54,237.51,243.05
2053,1,247.52,250.36,236.26,244.45
2054,1,237.49,244.13,241.11,242.00
2055,1,242.67,239.71,243.07,239.65
2056,1,241.70,234.43,240.39,244.58
2057,1,242.89,248.18,240.45,239.94
2058,1,239.58,244.58,244.01,243.88
2059,1,241.16,243.44,252.39,240.48
2060,1,247.01,244.25,254.55,242.45
2061,1,239.40,244.70,252.12,245.72
2062,1,237.17,251.98,247.24,238.54
2063,1,235.57,242.64,250.74,239.46
2064,1,236.76,245.46,252.79,239.26
2065,1,235.80,242.86,249.23,244.55
2066,1,239.13,247.42,235.42,243.05
2067,1,240.65,240.53,242.24,246.11
2068,1,246.11,244.66,248.52,247.50
2069,1,238.56,251.33,244.66,241.36
2070,1,246.64,252.76,255.39,247.89
2071,1,238.30,246.78,243.02,234.30
2072,1,236.00,241.79,243.87,239.89
2073,1,240.82,236.25,239.36,236.81
2074,1,245.03,241.33,240.90,244.83
2075,1,235.71,246.82,247.67,246.77
2076,1,237.68,245.93,247.84,243.42
2077,1,239.38,244.85,247.54,247.02
2078,1,240.43,247.62,246.17,243.15
2079,1,243.55,243.27,247.58,240.22
2080,1,243.58,242.26,246.94,244.20
2081,1,243.63,244.38,250.48,246.74
2082,1,236.33,245.92,247.59,240.38
2083,1,240.90,251.53,248.93,245.42
2084,1,235.13,248.42,238.88,252.71
2085,1,240.90,246.69,246.94,246.60
2086,1,243.11,247.33,250.06,243.10
2087,1,244.87,250.15,249.68,233.53
2088,1,237.31,237.33,248.98,243.44
2089,1,246.06,244.48,250.11,241.87
2090,1,231.85,243.87,247.30,241.12
2091,1,244.45,244.45,252.21,250.06
2092,1,242.30,246.91,247.13,240.09
2093,1,241.62,245.00,245.01,241.07
2094,1,236.50,247.95,249.02,240.39
2095,1,245.73,247.09,246.93,238.52
2096,1,237.19,251.32,252.04,248.65
2097,1,238.64,253.58,244.52,241.80
2098,1,238.75,247.26,256.47,244.25
2099,1,241.88,250.74,248.10,238.29
2100,1,243.76,248.40,257.58,244.46
2001,2,236.55,237.63,236.45,236.74
2002,2,230.99,236.87,243.91,237.69
2003,2,238.00,240.05,242.06,237.81
2004,2,233.16,235.73,233.44,231.28
2005,2,238.63,237.68,238.65,232.07
2006,2,239.73,234.32,246.61,235.63
2007,2,247.66,240.92,239.31,246.34
2008,2,233.37,237.68,243.61,233.27
2009,2,233.78,241.90,244.19,237.46
2010,2,235.77,234.97,234.12,230.06
2011,2,241.87,243.14,242.86,239.20
2012,2,239.20,234.17,235.03,235.03
2013,2,242.89,240.17,235.63,247.73
2014,2,236.61,242.86,238.41,241.94
2015,2,236.95,246.85,243.70,242.45
2016,2,237.09,238.65,244.36,238.15
2017,2,242.10,236.43,235.20,232.90
2018,2,238.09,247.47,244.79,235.26
2019,2,240.51,240.35,239.20,241.29
2020,2,238.57,236.44,245.96,242.00
2021,2,240.19,236.44,244.18,239.06
2022,2,245.23,241.94,236.19,237.25
2023,2,238.71,242.29,242.36,236.18
2024,2,234.23,239.36,242.45,241.96
2025,2,239.36,243.15,240.84,234.86
2026,2,240.68,237.25,242.44,244.90
2027,2,238.86,248.81,243.09,232.36
2028,2,240.82,244.02,239.76,250.20
2029,2,237.11,241.16,242.44,239.20
2030,2,239.56,238.46,236.11,249.08
2031,2,242.21,240.82,247.19,243.69
2032,2,243.55,243.16,237.77,241.10
2033,2,232.16,244.11,233.48,238.48
2034,2,242.49,246.25,245.26,239.64
2035,2,238.92,236.37,232.54,239.50
2036,2,233.15,239.30,236.89,245.82
2037,2,234.62,241.77,249.05,239.78
2038,2,235.12,238.20,241.85,243.40
2039,2,241.15,242.79,247.24,250.07
2040,2,243.50,244.16,241.00,245.41
2041,2,244.58,232.57,234.05,238.33
2042,2,238.77,236.51,243.45,238.54
2043,2,240.73,233.60,244.51,236.84
2044,2,236.37,236.09,239.92,238.84
2045,2,237.64,238.49,242.41,241.30
2046,2,245.20,235.01,242.48,243.04
2047,2,237.54,236.63,235.70,239.49
2048,2,244.45,246.93,243.07,238.73
2049,2,244.54,240.63,244.10,245.94
2050,2,234.42,241.16,235.23,241.88
2051,2,236.07,243.01,239.90,238.82
2052,2,238.57,245.55,245.43,242.58
2053,2,242.40,249.90,240.03,245.71
2054,2,248.78,240.42,244.31,246.64
2055,2,237.30,242.45,246.11,250.54
2056,2,234.55,242.70,241.97,244.09
2057,2,235.03,238.89,244.29,238.10
2058,2,239.84,251.61,244.31,243.51
2059,2,234.35,239.41,250.48,239.13
2060,2,241.51,241.45,251.61,246.41
2061,2,245.67,245.19,243.23,249.09
2062,2,238.02,247.60,244.40,238.77
2063,2,239.63,237.05,244.63,241.28
2064,2,234.41,246.46,240.79,245.22
2065,2,237.56,240.97,246.30,246.92
2066,2,245.91,251.22,238.76,241.45
2067,2,240.72,246.82,248.33,239.63
2068,2,251.00,245.93,248.14,246.84
2069,2,234.30,244.82,241.71,231.52
2070,2,237.40,244.43,242.37,240.47
2071,2,243.70,241.75,242.44,242.53
2072,2,247.58,243.35,250.95,240.84
2073,2,236.87,242.28,244.77,240.17
2074,2,242.52,240.63,245.04,240.73
2075,2,238.13,241.75,246.67,244.08
2076,2,242.41,248.38,246.07,250.55
2077,2,243.82,242.26,246.81,247.49
2078,2,245.10,246.06,240.89,243.27
2079,2,240.31,251.95,245.38,242.92
2080,2,241.15,239.01,251.34,243.15
2081,2,239.04,247.78,249.53,242.07
2082,2,236.73,248.71,248.27,247.77
2083,2,244.50,242.44,246.90,240.00
2084,2,232.33,247.87,238.71,248.25
2085,2,242.73,245.70,245.44,239.73
2086,2,240.53,245.98,246.44,246.77
2087,2,245.17,251.26,247.47,234.43
2088,2,243.32,243.66,246.80,242.09
2089,2,245.94,243.58,249.04,255.44
2090,2,234.27,245.76,249.54,247.10
2091,2,237.07,249.09,250.19,245.83
2092,2,236.46,241.84,252.87,236.14
2093,2,241.13,237.34,241.99,243.76
2094,2,233.80,249.78,248.11,250.88
2095,2,239.02,250.24,247.74,236.07
2096,2,240.12,246.07,249.73,243.39
2097,2,235.35,247.73,248.56,241.50
2098,2,243.34,240.33,247.16,241.62
2099,2,243.56,250.07,250.34,243.97
2100,2,240.53,248.51,247.56,242.23
2001,3,241.98,241.43,240.28,245.10
2002,3,248.57,244.94,249.03,242.67
2003,3,245.09,238.39,243.52,243.44
2004,3,240.09,248.34,242.18,251.35
2005,3,249.76,247.05,245.09,250.14
2006,3,242.40,248.56,246.32,241.05
2007,3,247.51,238.42,249.96,245.24
2008,3,245.64,246.86,249.88,244.03
2009,3,243.36,245.25,247.96,245.51
2010,3,248.92,240.27,239.47,240.40
2011,3,244.13,245.16,245.96,251.88
2012,3,240.50,247.38,247.90,245.45
2013,3,248.89,243.46,245.24,251.00
2014,3,246.69,249.61,244.90,244.95
2015,3,252.59,250.91,242.59,239.46
2016,3,247.21,244.01,248.29,242.93
2017,3,244.28,246.92,243.51,239.71
2018,3,240.72,248.13,247.28,249.85
2019,3,249.79,241.08,243.91,245.38
2020,3,244.23,251.94,252.08,249.18
2021,3,246.53,245.10,243.23,244.28
2022,3,243.82,244.20,241.99,242.72
2023,3,248.21,244.92,244.33,248.28
2024,3,244.67,247.41,244.51,250.59
2025,3,243.00,254.78,246.63,240.23
2026,3,247.30,246.23,244.88,240.50
2027,3,248.66,250.93,249.07,251.57
2028,3,238.05,244.64,246.39,244.25
2029,3,243.59,244.28,247.68,253.82
2030,3,253.45,246.43,244.18,249.15
2031,3,242.72,256.01,246.14,248.08
2032,3,245.95,247.71,245.33,251.80
2033,3,242.12,251.74,247.20,244.36
2034,3,247.97,242.17,249.41,247.49
2035,3,243.76,248.12,242.02,243.40
2036,3,244.79,250.55,248.10,242.00
2037,3,252.30,245.40,249.05,246.98
2038,3,243.47,242.21,249.93,247.17
2039,3,247.81,242.80,244.37,243.55
2040,3,246.55,243.89,247.78,244.67
2041,3,244.25,252.51,247.51,245.60
2042,3,245.55,240.37,244.71,247.33
2043,3,246.22,245.84,246.42,249.01
2044,3,238.60,249.79,244.74,242.58
2045,3,244.14,245.58,246.26,245.91
2046,3,246.08,244.06,245.94,249.54
