,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,273.37,274.77,273.60,275.44
2002,1,273.81,273.89,274.54,275.71
2003,1,271.36,274.26,271.44,275.10
2004,1,271.88,276.97,274.58,273.93
2005,1,274.46,272.36,274.52,274.83
2006,1,273.13,273.53,274.65,274.61
2007,1,273.70,274.45,272.13,274.43
2008,1,273.24,272.46,275.41,274.16
2009,1,277.47,276.41,274.18,273.85
2010,1,271.95,274.03,276.60,272.78
2011,1,276.26,275.67,273.69,276.76
2012,1,271.75,274.64,275.60,276.09
2013,1,272.35,273.27,273.63,276.40
2014,1,273.10,274.17,274.06,276.56
2015,1,274.96,275.91,274.29,268.85
2016,1,276.12,273.15,273.53,274.21
2017,1,277.05,277.65,270.86,277.22
2018,1,274.64,274.35,274.11,274.55
2019,1,274.55,275.64,278.63,276.06
2020,1,274.74,274.41,273.94,274.88
2021,1,274.98,272.68,274.68,273.89
2022,1,272.43,275.09,273.10,277.20
2023,1,273.17,273.44,272.69,274.14
2024,1,275.88,273.79,272.88,273.30
2025,1,274.35,274.52,276.69,274.82
2026,1,276.42,276.65,273.39,277.38
2027,1,274.40,274.93,272.91,275.81
2028,1,272.85,272.25,276.66,276.19
2029,1,273.99,274.01,273.53,273.89
2030,1,273.39,274.54,275.08,275.74
2031,1,276.37,277.80,273.94,272.75
2032,1,274.23,275.69,274.08,271.79
2033,1,274.73,275.73,277.25,276.10
2034,1,273.86,275.71,274.75,274.44
2035,1,274.77,274.52,276.17,276.09
2036,1,276.96,275.30,273.55,274.40
2037,1,274.04,272.63,276.78,274.93
2038,1,275.33,275.64,274.94,276.92
2039,1,274.72,270.28,272.71,274.48
2040,1,272.16,275.68,276.25,277.24
2041,1,275.34,273.29,277.75,274.81
2042,1,274.57,274.82,277.75,273.44
2043,1,276.22,276.48,274.48,273.88
2044,1,275.50,273.57,275.47,274.87
2045,1,273.37,273.69,274.35,275.80
2046,1,276.21,277.89,276.29,275.77
2047,1,275.56,276.76,276.38,274.51
2048,1,272.43,276.33,276.49,272.18
2049,1,274.19,275.45,275.57,274.89
2050,1,274.17,276.34,276.65,276.64
2051,1,276.60,271.60,277.04,276.56
2052,1,275.58,271.83,273.56,274.86
2053,1,273.06,277.40,273.04,272.24
2054,1,274.61,275.26,274.44,273.53
2055,1,277.46,274.58,272.39,274.65
2056,1,274.84,276.08,275.02,274.81
2057,1,273.87,276.59,276.30,276.53
2058,1,273.32,277.22,276.37,276.83
2059,1,272.30,274.89,277.64,272.85
2060,1,272.67,277.40,276.51,275.03
