,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,267.87,271.35,270.78,271.56
2002,1,268.82,268.78,269.57,270.98
2003,1,266.36,271.57,266.10,269.91
2004,1,270.46,273.70,270.62,270.50
2005,1,270.65,266.82,271.54,269.34
2006,1,269.02,271.32,267.40,272.76
2007,1,267.07,271.10,270.20,271.55
2008,1,270.88,271.25,270.83,270.47
2009,1,272.54,270.63,270.76,272.15
2010,1,268.35,270.77,273.36,266.53
2011,1,271.53,270.39,270.55,270.73
2012,1,270.36,270.51,271.25,271.97
2013,1,271.72,268.65,268.93,270.07
2014,1,271.18,268.97,266.91,269.03
2015,1,270.69,270.33,272.45,265.63
2016,1,273.44,270.76,268.45,272.83
2017,1,271.75,273.80,267.84,274.21
2018,1,272.89,269.79,270.04,271.24
2019,1,269.89,269.46,274.56,271.40
2020,1,269.35,271.99,268.78,268.65
2021,1,272.38,271.27,271.20,268.08
2022,1,266.53,270.44,266.44,272.27
2023,1,269.79,270.81,270.65,269.28
2024,1,270.87,269.44,268.57,268.07
2025,1,270.25,271.25,271.27,271.17
2026,1,269.85,271.71,267.98,274.18
2027,1,272.38,271.40,266.85,273.33
2028,1,266.24,266.37,273.34,271.32
2029,1,269.84,269.53,267.60,270.85
2030,1,269.80,271.20,271.56,271.45
2031,1,269.39,274.35,268.03,267.18
2032,1,270.17,273.69,268.48,272.22
2033,1,270.79,273.20,273.39,273.09
2034,1,266.18,271.91,271.45,271.32
2035,1,272.55,272.02,272.89,268.43
2036,1,271.95,272.91,268.40,270.33
2037,1,271.72,270.55,272.95,270.97
2038,1,269.42,271.08,271.26,273.61
2039,1,270.41,269.38,269.11,270.79
2040,1,267.14,268.11,270.29,273.58
2041,1,272.66,267.93,273.83,272.39
2042,1,272.14,270.14,273.75,268.57
2043,1,272.61,273.41,270.41,269.62
2044,1,272.83,269.23,271.72,271.03
2045,1,270.50,272.61,270.07,269.83
2046,1,271.77,273.52,272.22,269.55
2047,1,271.62,273.32,272.42,271.10
2048,1,269.04,271.51,270.18,268.13
2049,1,272.62,272.68,272.00,269.06
2050,1,270.53,271.83,272.58,271.66
2051,1,272.79,266.86,273.25,271.69
2052,1,271.93,269.50,268.31,272.59
2053,1,268.64,273.45,268.87,268.51
2054,1,271.39,265.64,270.61,267.77
2055,1,272.33,270.30,267.43,268.16
2056,1,269.90,274.24,269.00,271.39
2057,1,270.49,273.07,271.49,273.26
2058,1,272.50,273.04,272.58,272.52
2059,1,267.46,271.84,273.54,267.21
2060,1,270.66,272.64,271.84,273.14
2061,1,271.46,268.44,272.26,272.31
2062,1,269.38,271.67,272.44,272.79
2063,1,273.31,272.50,269.50,272.04
2064,1,270.22,271.65,273.65,271.79
2065,1,271.29,267.96,273.66,269.77
2066,1,270.06,272.15,270.81,270.10
2067,1,272.41,273.55,270.71,270.96
2068,1,264.70,272.53,275.03,270.35
2069,1,274.51,265.05,272.99,270.98
2070,1,273.58,268.85,272.44,271.97
2071,1,269.17,272.89,273.48,268.77
2072,1,267.13,270.43,271.94,271.66
2073,1,270.67,273.24,270.72,274.11
2074,1,267.76,271.55,271.66,272.88
2075,1,269.66,273.05,273.68,270.96
2076,1,271.31,273.05,272.74,273.63
2077,1,272.08,275.61,270.70,273.28
2078,1,262.93,273.67,272.27,271.84
2079,1,271.41,274.94,272.58,271.74
2080,1,267.97,272.41,273.16,272.41
2081,1,270.11,272.20,272.62,267.58
2082,1,273.18,271.34,275.72,268.62
2083,1,271.71,272.48,274.58,272.02
2084,1,268.17,272.26,273.35,272.92
2085,1,266.58,272.05,271.48,272.47
2086,1,270.39,273.17,266.81,270.90
2087,1,268.00,274.51,274.41,271.69
2088,1,269.85,272.60,272.70,265.21
2089,1,272.06,270.63,276.69,272.84
2090,1,267.89,273.90,273.11,273.83
2091,1,274.03,274.80,269.25,268.60
2092,1,273.45,272.78,273.68,271.91
2093,1,270.59,273.47,274.01,274.82
2094,1,268.71,267.28,274.74,274.12
2095,1,267.40,271.67,273.53,270.06
2096,1,266.62,274.72,272.02,270.90
2097,1,271.75,275.09,274.26,272.50
2098,1,266.02,272.16,273.79,269.97
2099,1,272.13,277.45,275.67,271.22
2100,1,270.34,271.37,273.47,272.19
2001,2,263.67,273.14,275.57,270.22
2002,2,271.43,273.81,273.90,273.45
2003,2,272.91,270.60,274.21,269.32
2004,2,274.94,270.37,272.68,274.04
2005,2,274.12,263.24,271.84,272.63
2006,2,272.92,270.60,274.67,276.08
2007,2,270.10,273.99,276.50,272.34
2008,2,273.75,267.88,271.72,270.16
2009,2,266.85,272.38,273.75,274.42
2010,2,274.44,270.74,272.95,272.27
2011,2,272.96,272.17,272.21,268.87
2012,2,272.80,271.38,271.29,269.19
2013,2,270.61,274.24,270.02,273.42
2014,2,273.05,269.55,273.13,270.47
2015,2,271.87,269.86,269.80,271.85
2016,2,270.19,274.86,271.55,274.91
2017,2,272.76,272.77,270.08,272.22
2018,2,271.41,270.53,273.64,272.20
