,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,276.55,278.65,277.26,279.14
2002,1,277.70,278.35,276.77,278.94
2003,1,280.27,277.30,274.87,278.66
2004,1,277.62,278.74,279.34,277.59
2005,1,278.26,277.38,278.98,280.89
2006,1,278.49,277.54,277.88,278.47
2007,1,277.76,278.80,275.81,278.04
2008,1,277.36,279.74,279.36,278.22
2009,1,281.39,281.00,279.41,279.34
2010,1,278.89,276.68,278.93,275.47
2011,1,280.40,281.26,277.63,279.63
2012,1,274.99,279.34,278.95,281.65
2013,1,277.97,276.13,277.23,279.56
2014,1,275.76,278.62,280.86,279.93
2015,1,279.33,279.85,276.42,277.09
2016,1,280.94,277.46,279.90,278.76
2017,1,281.87,282.53,276.70,282.49
2018,1,279.60,280.45,278.34,279.59
2019,1,278.95,280.10,281.70,278.39
2020,1,278.44,276.48,279.05,279.71
2021,1,278.27,279.54,278.16,279.16
2022,1,279.13,279.09,276.01,281.52
2023,1,276.50,277.08,274.27,277.42
2024,1,279.06,277.40,276.04,276.62
2025,1,279.22,278.24,281.78,278.63
2026,1,281.06,280.85,279.90,282.73
2027,1,277.01,277.90,276.06,279.07
2028,1,276.40,277.06,281.36,281.30
2029,1,278.72,279.53,276.61,277.50
2030,1,277.75,278.57,278.22,278.81
2031,1,280.04,280.46,279.13,276.48
2032,1,277.86,279.17,277.95,276.80
2033,1,278.48,279.48,280.95,279.88
2034,1,279.94,281.02,280.16,276.92
2035,1,277.51,278.68,278.80,281.33
2036,1,281.83,278.87,276.87,278.77
2037,1,277.15,277.10,280.71,278.66
2038,1,280.65,279.35,278.64,280.35
2039,1,279.89,278.44,278.00,277.89
2040,1,277.08,279.56,280.34,280.09
2041,1,278.77,277.85,282.16,277.49
2042,1,278.89,279.92,282.91,276.71
2043,1,280.20,281.52,279.23,276.88
2044,1,279.60,277.17,280.07,278.97
2045,1,277.01,277.65,278.25,280.19
2046,1,279.40,282.97,280.27,279.96
2047,1,279.16,280.01,280.68,280.05
2048,1,276.25,280.32,282.51,278.05
2049,1,275.55,280.76,278.54,281.34
2050,1,276.78,280.31,280.40,280.74
2051,1,280.86,276.00,280.95,280.34
