,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,261.82,267.03,267.70,266.60
2002,1,267.52,266.26,268.15,269.04
2003,1,264.81,270.56,263.34,267.50
2004,1,268.73,272.19,268.32,270.17
2005,1,268.60,264.94,270.20,264.59
2006,1,266.76,269.54,267.91,272.36
2007,1,261.47,270.68,267.19,271.50
2008,1,269.44,269.67,269.35,266.90
2009,1,269.40,270.20,267.02,271.37
2010,1,267.03,268.21,273.21,265.15
2011,1,270.61,268.67,268.03,268.32
2012,1,266.27,267.70,269.99,270.96
2013,1,269.38,267.32,268.32,269.41
2014,1,269.92,267.64,265.86,268.00
2015,1,269.12,266.96,272.19,265.96
2016,1,272.27,266.99,266.26,272.01
2017,1,269.45,271.80,266.56,273.47
2018,1,271.66,268.82,268.12,268.80
2019,1,268.29,264.94,273.22,271.15
2020,1,267.57,270.14,267.97,264.11
2021,1,268.88,270.44,269.57,265.51
2022,1,264.94,269.86,265.95,270.48
2023,1,267.03,268.84,267.97,269.21
2024,1,268.08,267.07,269.09,267.81
2025,1,269.96,268.09,269.85,270.28
2026,1,269.25,269.61,267.86,273.16
2027,1,271.46,269.20,264.85,271.33
2028,1,266.44,264.35,272.94,267.38
2029,1,269.83,268.17,264.14,268.59
2030,1,267.44,267.91,269.81,269.14
2031,1,269.02,272.12,268.89,269.87
2032,1,269.96,274.29,267.51,270.86
2033,1,269.24,272.21,273.75,271.73
2034,1,265.49,269.83,268.16,269.03
2035,1,271.09,270.55,271.37,265.01
2036,1,270.69,272.38,266.64,268.45
2037,1,269.72,270.30,273.06,270.11
2038,1,268.35,268.76,268.76,272.10
2039,1,269.52,268.04,268.29,270.55
2040,1,265.88,263.94,266.10,273.56
2041,1,271.93,267.33,272.85,271.49
2042,1,270.00,269.46,271.74,267.29
2043,1,269.92,272.19,270.31,269.27
2044,1,272.13,263.98,270.63,268.74
2045,1,267.75,272.45,266.54,269.15
2046,1,271.08,270.97,272.42,267.71
2047,1,269.37,272.14,272.46,270.92
2048,1,265.17,269.57,271.25,264.20
2049,1,270.72,270.96,270.68,267.35
2050,1,269.66,269.37,271.74,267.23
2051,1,268.63,263.45,271.81,268.15
2052,1,270.02,267.60,269.33,271.91
2053,1,268.71,271.01,267.16,267.35
2054,1,269.11,261.43,268.25,264.71
2055,1,269.91,269.12,263.73,262.79
2056,1,270.83,273.50,269.04,270.07
2057,1,267.37,272.63,269.07,272.90
2058,1,271.36,272.27,271.63,271.17
2059,1,266.70,270.06,272.27,266.95
2060,1,269.52,270.10,271.60,273.32
2061,1,268.78,264.64,270.67,271.79
2062,1,264.47,271.92,270.92,271.05
2063,1,271.84,271.19,269.45,271.03
2064,1,270.73,270.30,272.50,270.24
2065,1,267.52,265.56,272.65,270.18
2066,1,264.64,270.73,270.16,268.67
2067,1,270.67,272.13,267.38,269.13
2068,1,263.04,272.47,273.91,268.02
2069,1,272.78,265.83,272.52,267.30
2070,1,272.60,266.73,272.18,269.86
2071,1,270.05,270.15,272.24,267.38
2072,1,262.08,269.57,270.63,269.39
2073,1,269.39,270.20,268.36,272.54
2074,1,267.27,271.29,270.99,270.88
2075,1,266.00,272.50,271.67,268.35
2076,1,269.05,271.64,271.45,272.86
2077,1,271.02,273.87,268.72,273.03
2078,1,264.67,273.41,272.57,270.63
2079,1,269.21,273.55,270.68,269.19
2080,1,265.86,272.36,270.70,269.44
2081,1,268.84,269.86,271.03,270.43
2082,1,272.71,270.44,275.11,269.55
2083,1,271.30,270.55,274.08,272.46
2084,1,264.55,271.44,273.06,273.00
2085,1,266.51,269.97,268.97,272.67
2086,1,266.82,273.10,265.84,270.99
2087,1,266.77,274.27,273.45,271.12
2088,1,269.97,270.47,272.34,265.31
2089,1,271.62,270.01,275.80,270.50
2090,1,264.12,273.19,272.73,273.26
2091,1,272.63,274.42,268.46,268.65
2092,1,271.41,271.68,273.41,269.70
2093,1,269.57,271.91,273.54,273.48
2094,1,269.57,268.31,274.35,273.17
2095,1,265.57,271.69,272.34,268.85
2096,1,266.47,274.62,269.97,269.38
2097,1,268.61,274.60,273.36,270.83
2098,1,262.73,271.28,273.29,271.26
2099,1,271.23,276.20,275.00,270.31
2100,1,269.79,269.63,273.03,271.82
2001,2,258.79,272.12,274.29,267.21
2002,2,270.73,272.64,272.59,273.35
2003,2,271.78,269.02,272.86,265.60
2004,2,273.64,267.54,270.26,272.22
2005,2,272.57,260.41,269.58,269.49
2006,2,270.94,269.26,274.71,275.01
2007,2,268.87,273.16,276.00,272.36
2008,2,272.99,265.95,270.98,268.69
2009,2,263.69,271.75,273.52,271.78
2010,2,271.47,268.64,271.22,270.55
2011,2,272.16,270.36,270.72,267.67
2012,2,270.48,267.69,271.27,270.79
2013,2,270.21,273.91,266.15,271.98
2014,2,272.93,266.44,272.75,268.85
2015,2,271.03,270.27,267.70,272.41
2016,2,267.95,274.06,272.59,274.76
2017,2,272.08,271.15,267.22,271.67
2018,2,268.26,270.51,272.80,270.65
2019,2,267.89,265.83,267.17,268.59
2020,2,272.12,272.94,274.60,273.87
2021,2,269.40,268.68,266.87,267.56
2022,2,273.40,269.76,271.63,270.66
2023,2,269.19,266.85,273.52,272.00
2024,2,265.61,274.43,272.17,267.71
2025,2,270.42,267.21,274.13,261.27
2026,2,273.62,266.25,273.75,272.57
2027,2,274.81,272.43,270.66,270.13
2028,2,271.25,269.35,269.36,271.18
2029,2,269.72,265.14,265.07,273.41
2030,2,273.89,272.75,272.93,274.84
2031,2,270.19,272.24,268.96,272.73
2032,2,263.54,271.47,270.71,270.08
2033,2,271.08,264.13,273.08,268.49
2034,2,265.00,272.34,270.73,274.30
2035,2,274.08,268.51,274.49,267.47
2036,2,272.71,272.77,267.18,273.65
2037,2,271.54,271.34,273.71,269.02
2038,2,273.25,270.99,272.14,273.64
2039,2,273.78,269.49,271.63,269.46
2040,2,269.23,269.63,267.86,271.83
2041,2,273.71,273.70,271.79,274.52
2042,2,267.95,273.93,270.05,274.87
2043,2,274.45,273.20,271.61,269.33
2044,2,273.80,270.21,270.29,270.37
2045,2,267.63,273.00,274.32,272.08
2046,2,265.32,268.21,272.15,268.14
2047,2,272.84,276.96,270.29,271.15
2048,2,267.19,275.34,269.50,269.33
2049,2,273.49,274.46,272.14,274.33
2050,2,272.13,273.89,271.23,270.31
2051,2,273.06,273.79,277.24,272.59
2052,2,273.21,274.89,271.74,266.17
2053,2,271.17,272.68,271.58,273.06
2054,2,271.02,273.51,272.82,272.69
2055,2,268.85,270.92,271.38,269.98
2056,2,273.48,273.78,271.24,273.44
2057,2,264.64,272.63,274.04,271.25
2058,2,269.68,274.48,271.15,273.87
2059,2,273.91,275.84,275.02,272.17
2060,2,268.70,273.49,273.50,269.58
2061,2,273.52,274.53,275.15,272.33
2062,2,269.78,272.37,271.85,265.31
2063,2,274.81,275.11,276.23,272.40
2064,2,272.72,270.39,270.53,273.77
2065,2,272.33,274.37,275.02,273.68
2066,2,266.78,273.10,272.43,274.34
2067,2,273.69,272.65,264.50,269.93
2068,2,265.11,273.28,270.91,273.40
2069,2,269.26,262.39,271.25,272.32
2070,2,274.20,270.67,272.25,271.33
2071,2,272.00,275.32,262.65,268.84
2072,2,269.85,270.22,270.24,271.30
2073,2,273.27,271.14,270.41,268.71
2074,2,270.27,273.10,273.80,272.12
2075,2,268.33,272.53,273.16,275.59
2076,2,269.99,273.12,271.94,275.07
2077,2,272.11,272.77,274.37,272.56
2078,2,267.98,272.46,272.66,275.59
2079,2,274.32,274.30,274.35,269.37
2080,2,272.02,271.00,273.66,272.19
2081,2,268.95,272.30,275.36,271.32
2082,2,273.32,268.89,275.07,272.76
2083,2,272.84,272.66,273.75,269.81
2084,2,271.58,272.23,273.62,268.71
2085,2,269.55,274.34,274.24,275.57
2086,2,272.95,273.10,267.75,274.88
2087,2,272.04,274.48,274.98,270.88
2088,2,264.09,271.86,276.97,270.70
2089,2,274.89,276.61,275.05,272.73
