,,Committed ,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2051,2,290.20,291.30,291.60,291.82
2052,2,289.07,289.65,291.99,291.19
2053,2,290.92,289.54,291.22,290.92
2054,2,288.73,293.04,292.89,290.22
2055,2,290.85,288.67,290.89,291.98
2056,2,288.33,292.30,291.02,292.00
2057,2,289.89,289.27,290.81,291.78
2058,2,289.36,288.74,294.09,291.46
2059,2,290.67,291.70,290.84,291.39
2060,2,289.40,290.36,289.49,291.39
2061,2,292.38,289.67,290.21,290.88
2062,2,289.00,289.52,290.92,292.61
2063,2,288.80,289.22,290.97,289.37
2064,2,290.96,292.31,290.25,288.34
2065,2,291.37,292.69,290.39,290.59
2066,2,288.72,291.90,293.58,291.86
2067,2,290.46,291.48,294.56,293.85
2068,2,289.24,291.46,292.02,291.94
2069,2,292.12,293.26,291.90,291.08
2070,2,289.02,291.61,291.80,292.20
2071,2,288.08,290.05,295.67,291.90
2072,2,289.86,294.77,291.97,292.11
2073,2,289.99,296.11,294.31,293.42
2074,2,288.81,293.86,291.93,290.70
2075,2,290.20,291.93,294.10,287.98
2076,2,289.51,291.79,293.26,293.63
2077,2,289.51,293.20,291.45,288.29
2078,2,289.12,294.65,290.60,289.99
2079,2,290.72,292.06,292.61,291.46
2080,2,288.70,292.38,293.54,289.82
2081,2,289.31,291.99,291.40,291.03
2082,2,289.75,292.52,294.91,290.57
2083,2,289.57,291.72,293.42,292.61
2084,2,292.56,289.17,295.96,289.45
2085,2,291.52,294.11,292.47,289.04
2086,2,288.21,292.99,297.31,290.11
2087,2,288.58,289.63,294.01,294.02
2088,2,290.58,292.28,293.51,293.24
2089,2,288.21,290.37,292.19,290.70
2090,2,291.39,292.61,292.05,288.75
2091,2,290.32,294.07,295.66,288.23
2092,2,289.35,295.05,290.77,293.08
2093,2,290.23,293.16,296.27,290.90
2094,2,290.25,291.36,294.57,290.45
2095,2,289.47,290.45,293.13,292.61
2096,2,290.76,292.29,294.81,291.22
2097,2,291.11,293.23,293.71,293.86
2098,2,290.54,295.02,294.01,290.25
2099,2,291.46,293.07,294.25,292.58
2100,2,287.94,292.00,292.54,293.85
2001,3,294.34,293.26,293.39,294.60
2002,3,294.58,293.74,290.82,293.94
2003,3,291.11,296.01,291.80,291.08
2004,3,293.57,293.68,294.94,293.07
2005,3,293.89,293.85,295.74,294.76
2006,3,294.83,294.68,292.01,291.83
2007,3,290.28,292.25,292.47,292.63
2008,3,294.67,292.27,293.98,293.88
2009,3,293.77,293.48,291.66,294.64
2010,3,295.56,295.23,291.60,293.12
2011,3,293.67,293.63,292.94,290.24
2012,3,292.98,292.95,293.57,293.80
2013,3,292.12,293.88,293.93,293.40
2014,3,291.95,295.10,294.40,293.72
2015,3,292.26,293.11,293.30,292.77
2016,3,294.73,292.23,294.26,293.54
2017,3,294.94,294.41,293.74,294.02
2018,3,294.10,290.52,294.85,294.84
2019,3,294.55,290.96,295.92,294.41
2020,3,292.83,292.40,292.45,293.91
2021,3,295.54,294.19,292.16,295.33
2022,3,293.59,294.52,293.19,294.66
2023,3,293.87,290.83,292.69,293.38
2024,3,295.71,292.71,294.17,293.05
2025,3,294.48,292.78,294.91,292.99
2026,3,291.98,294.94,293.86,295.32
2027,3,293.00,295.53,295.48,293.15
2028,3,293.54,294.32,293.08,295.01
2029,3,291.78,296.75,290.77,292.47
2030,3,293.92,292.42,291.39,293.90
2031,3,289.89,293.92,295.80,294.51
2032,3,295.05,294.25,295.33,294.71
2033,3,295.23,292.25,294.13,292.73
2034,3,294.27,294.11,292.59,294.53
2035,3,292.63,295.94,295.25,291.60
2036,3,293.04,293.80,294.69,291.88
2037,3,291.97,294.61,294.69,296.04
2038,3,294.02,295.60,294.75,296.03
2039,3,292.47,294.51,293.46,295.34
2040,3,292.27,295.95,293.92,294.41
2041,3,293.44,295.42,295.80,294.94
2042,3,294.60,294.08,291.47,294.56
2043,3,291.04,296.11,295.16,291.96
2044,3,293.19,292.52,293.36,292.47
2045,3,293.64,295.28,295.29,293.63
2046,3,292.78,295.34,296.75,294.07
2047,3,292.84,294.41,295.01,295.00
2048,3,293.28,296.16,296.62,291.28
2049,3,290.53,294.29,296.30,295.58
2050,3,293.47,295.27,293.74,294.68
2051,3,293.92,294.33,294.62,294.78
2052,3,293.47,293.34,296.34,292.51
2053,3,291.64,294.31,296.12,295.21
2054,3,293.70,294.07,292.34,294.78
2055,3,293.45,293.26,294.61,294.04
2056,3,291.93,295.53,294.64,295.04
2057,3,292.58,293.24,295.23,294.88
2058,3,293.37,293.21,295.44,292.82
2059,3,292.27,296.67,296.89,295.82
2060,3,291.13,296.35,294.43,295.27
2061,3,293.62,293.53,293.23,294.24
2062,3,294.45,293.66,295.98,293.42
2063,3,293.87,296.83,297.24,292.80
2064,3,296.72,297.70,291.53,293.91
2065,3,294.81,295.00,292.42,293.08
2066,3,294.62,292.64,293.32,295.18
2067,3,292.74,293.72,296.32,293.90
2068,3,293.35,298.33,298.11,294.33
2069,3,293.07,295.97,293.75,294.49
2070,3,294.53,297.12,298.47,294.76
2071,3,292.16,294.81,297.30,296.04
2072,3,292.94,296.64,297.96,296.89
2073,3,292.67,296.85,295.95,295.87
2074,3,293.94,297.40,297.62,295.67
2075,3,292.50,295.19,298.09,293.49
2076,3,292.04,295.81,297.21,294.92
2077,3,293.35,298.17,298.19,293.43
2078,3,292.73,294.97,294.02,294.97
2079,3,292.95,292.70,296.15,293.69
2080,3,293.75,296.90,298.53,294.32
2081,3,292.77,296.93,295.67,296.18
2082,3,292.93,296.41,299.07,296.26
2083,3,294.06,294.66,296.88,294.25
2084,3,291.60,293.53,298.15,292.86
2085,3,295.35,298.87,296.78,293.16
2086,3,291.01,298.65,299.35,294.37
2087,3,289.65,295.61,298.70,296.55
2088,3,293.28,295.82,298.16,296.95
2089,3,291.31,295.91,296.53,296.40
2090,3,294.45,296.95,298.43,293.71
2091,3,290.30,295.70,297.59,291.30
2092,3,292.15,298.42,295.50,295.86
2093,3,294.23,296.77,299.01,296.37
2094,3,292.89,296.69,300.17,291.79
2095,3,291.96,295.55,297.80,293.74
2096,3,293.30,295.15,299.33,295.77
2097,3,293.26,296.41,299.94,296.90
2098,3,294.77,298.18,296.23,293.90
2099,3,293.47,296.03,298.04,295.97
2100,3,291.63,297.72,297.12,296.59
2001,4,296.68,294.26,294.47,295.21
2002,4,293.98,293.77,296.05,295.26
2003,4,295.67,296.26,294.29,294.24
2004,4,295.93,296.27,294.11,295.22
2005,4,296.02,293.93,294.20,295.59
2006,4,295.81,295.58,293.77,293.53
2007,4,294.49,297.46,293.67,294.92
2008,4,295.05,294.16,293.88,295.48
2009,4,293.47,295.63,293.57,295.72
2010,4,296.15,294.73,297.34,294.01
2011,4,295.90,296.13,294.31,295.10
2012,4,294.88,296.18,296.76,295.73
2013,4,296.17,296.15,297.42,296.04
2014,4,296.34,294.49,296.89,295.71
2015,4,294.22,294.63,293.68,297.81
2016,4,294.59,294.40,295.72,294.42
2017,4,297.35,295.16,295.82,294.46
2018,4,296.92,295.79,295.49,293.99
2019,4,296.05,295.55,297.20,295.53
2020,4,295.97,298.66,294.37,297.86
2021,4,296.30,295.26,294.21,294.36
2022,4,298.67,295.19,294.29,296.25
2023,4,297.29,295.37,294.91,296.68
2024,4,296.74,296.97,294.21,297.55
2025,4,296.69,298.47,297.57,295.21
2026,4,296.15,294.98,297.81,295.41
2027,4,294.70,297.14,296.93,296.02
2028,4,293.63,293.79,296.78,295.69
2029,4,295.61,298.36,296.31,296.46
2030,4,293.74,298.39,296.14,294.88
2031,4,296.30,295.11,297.95,297.57
2032,4,296.31,295.50,296.55,295.59
2033,4,297.06,294.39,296.32,294.55
2034,4,294.70,295.75,296.26,296.74
2035,4,297.47,296.46,299.14,294.99
2036,4,295.20,298.11,295.75,296.20
2037,4,295.71,295.86,297.37,296.94
2038,4,296.03,296.77,296.28,297.59
2039,4,295.65,297.24,295.51,297.22
2040,4,294.16,298.53,295.85,296.00
2041,4,296.61,295.46,295.50,297.86
2042,4,295.25,295.16,295.10,296.84
2043,4,297.24,297.70,295.39,293.84
2044,4,296.58,296.77,295.59,295.59
2045,4,293.00,298.04,295.65,297.53
2046,4,296.77,296.25,297.42,295.28
2047,4,292.87,297.53,296.88,295.20
2048,4,296.80,298.88,296.64,298.07
2049,4,293.22,295.88,294.39,298.63
2050,4,295.29,295.72,295.61,298.17
2051,4,295.70,296.06,299.55,294.29
2052,4,295.95,298.43,297.03,296.73
2053,4,293.82,298.50,298.17,297.81
2054,4,295.52,296.97,297.89,296.19
2055,4,297.06,297.58,298.32,295.76
2056,4,294.72,295.19,297.74,297.43
2057,4,293.50,297.82,299.15,297.89
2058,4,296.11,297.20,297.55,296.48
2059,4,295.77,296.68,298.05,298.65
2060,4,294.02,297.42,298.62,295.01
2061,4,294.50,295.49,299.62,298.78
2062,4,296.59,296.20,297.34,295.63
2063,4,295.82,299.55,297.92,297.65
2064,4,295.25,299.98,298.22,296.89
2065,4,295.89,294.81,297.23,297.27
2066,4,294.52,299.29,298.60,298.08
2067,4,294.59,297.19,298.45,299.42
2068,4,294.64,298.95,300.27,297.30
2069,4,295.92,299.36,298.38,295.91
2070,4,296.27,296.79,297.52,297.57
2071,4,296.82,298.28,296.04,297.60
2072,4,295.38,296.60,299.36,297.63
2073,4,293.44,297.66,297.34,295.91
2074,4,295.69,293.92,298.53,296.37
2075,4,296.34,300.72,298.25,295.61
2076,4,295.16,294.88,301.12,297.79
2077,4,295.91,297.64,297.25,296.73
2078,4,295.41,297.67,298.22,296.17
2079,4,295.68,298.21,298.64,298.01
2080,4,294.50,297.99,296.85,297.44
2081,4,293.11,298.29,300.44,295.52
2082,4,295.23,300.51,300.34,297.89
2083,4,294.84,298.09,299.25,296.38
2084,4,294.09,298.86,298.35,296.15
2085,4,294.64,300.19,301.58,296.37
2086,4,295.51,299.51,300.47,297.43
2087,4,294.95,298.58,299.25,295.90
2088,4,296.40,297.99,299.27,297.49
2089,4,295.34,298.36,298.96,297.87
2090,4,295.26,297.56,299.59,298.72
2091,4,294.78,299.10,296.99,297.81
