,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,251.55,255.28,257.69,249.42
2002,1,251.08,255.25,258.11,254.85
2003,1,253.93,254.03,253.32,254.96
2004,1,261.94,257.87,251.01,257.08
2005,1,256.67,258.17,258.05,248.32
2006,1,256.54,257.20,255.48,259.52
2007,1,243.75,261.92,257.30,265.02
2008,1,262.26,257.42,257.54,255.24
2009,1,251.11,257.22,253.82,256.03
2010,1,257.69,255.92,263.39,253.04
2011,1,260.26,256.90,252.66,256.13
2012,1,258.49,259.46,260.49,260.24
2013,1,258.55,260.03,257.75,251.39
2014,1,260.48,256.71,255.57,257.29
2015,1,256.01,256.22,266.16,259.21
2016,1,260.23,254.17,256.38,261.92
2017,1,252.81,257.98,258.09,259.46
2018,1,261.88,262.00,254.08,257.05
2019,1,252.93,249.26,255.85,258.32
2020,1,253.24,256.16,256.73,251.49
2021,1,254.13,260.73,261.95,250.82
2022,1,250.81,263.07,255.44,259.48
2023,1,256.47,259.41,262.06,259.71
2024,1,254.87,254.71,264.11,255.04
2025,1,254.94,257.67,257.62,258.82
2026,1,255.33,258.17,259.70,256.36
2027,1,262.85,256.71,258.40,260.80
2028,1,258.65,256.86,264.74,252.92
2029,1,261.11,255.97,257.55,257.00
2030,1,256.24,252.78,256.50,260.00
2031,1,257.74,257.89,255.57,263.22
2032,1,256.56,267.77,254.43,256.93
2033,1,256.05,262.87,256.68,256.31
2034,1,254.50,257.63,250.10,257.19
2035,1,258.47,261.84,261.41,250.66
2036,1,254.68,262.65,261.20,258.13
2037,1,257.10,260.19,263.27,263.21
2038,1,255.15,258.44,258.51,256.77
2039,1,263.69,260.50,261.15,260.84
2040,1,257.76,254.09,253.87,268.45
2041,1,259.95,253.31,264.35,261.89
2042,1,254.90,258.70,259.13,255.95
2043,1,255.86,262.46,265.30,259.43
2044,1,259.54,254.41,262.88,257.35
2045,1,256.02,263.58,257.13,260.26
2046,1,260.81,258.87,265.67,258.43
2047,1,255.86,259.62,263.87,259.81
2048,1,254.48,259.84,261.17,257.32
2049,1,255.71,254.40,256.33,258.52
2050,1,262.33,259.25,258.99,257.05
2051,1,252.40,251.85,263.30,251.73
2052,1,261.58,259.84,258.60,265.46
2053,1,260.14,258.53,259.06,258.91
2054,1,259.05,255.36,259.06,255.60
2055,1,259.04,263.27,254.66,255.63
2056,1,262.43,258.44,263.85,262.88
2057,1,255.56,264.85,256.14,261.67
2058,1,261.99,263.60,260.60,258.76
2059,1,260.41,257.29,263.21,260.45
2060,1,259.70,258.51,265.70,263.42
2061,1,253.26,257.96,265.23,260.64
2062,1,254.25,265.25,261.39,259.44
2063,1,261.56,260.58,260.00,260.18
2064,1,260.00,259.68,265.53,255.90
2065,1,256.16,256.73,261.74,264.67
2066,1,256.69,261.88,259.30,259.01
2067,1,259.60,259.29,256.51,259.13
2068,1,256.80,265.32,265.81,260.93
2069,1,258.32,259.25,265.58,255.27
2070,1,265.21,269.03,266.07,263.53
2071,1,259.97,259.13,263.82,253.43
2072,1,249.78,257.28,260.34,255.80
2073,1,257.87,255.71,257.91,260.98
2074,1,257.68,262.39,263.28,260.48
2075,1,247.63,264.08,260.86,261.04
2076,1,258.56,261.40,259.21,263.63
2077,1,255.62,263.86,263.42,265.95
2078,1,258.10,263.39,265.62,261.14
2079,1,258.78,262.77,264.61,263.37
2080,1,254.74,261.87,262.30,256.32
2081,1,255.30,264.15,264.67,263.23
2082,1,257.50,261.72,267.36,258.94
2083,1,261.70,265.67,268.90,267.68
2084,1,247.66,266.83,259.82,265.32
2085,1,259.63,257.31,261.57,266.16
2086,1,256.20,265.52,256.21,263.78
2087,1,255.04,268.69,268.06,255.59
2088,1,259.03,257.31,260.51,255.75
2089,1,261.91,263.38,266.67,256.82
