,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,278.36,279.72,279.94,279.68
2002,1,279.68,282.53,279.63,280.20
2003,1,279.82,282.10,280.27,280.94
2004,1,280.19,279.11,284.01,280.07
2005,1,278.25,278.95,280.97,282.55
2006,1,280.71,279.46,282.09,278.87
2007,1,282.23,277.70,277.37,281.59
2008,1,279.08,281.74,282.50,279.89
2009,1,282.67,280.36,280.87,280.32
2010,1,280.19,281.35,279.50,282.81
2011,1,281.84,280.68,282.16,280.83
2012,1,281.91,281.51,280.28,280.40
2013,1,278.03,279.90,279.27,281.14
2014,1,278.15,281.30,282.49,281.75
2015,1,281.49,281.36,280.78,279.34
2016,1,283.20,281.50,281.31,280.33
2017,1,283.03,280.58,281.63,282.36
2018,1,280.67,279.65,279.64,284.47
2019,1,281.36,282.42,280.69,279.85
2020,1,280.71,281.41,280.33,283.37
2021,1,280.94,281.80,279.57,281.98
2022,1,282.45,280.59,279.00,281.16
2023,1,280.64,280.67,278.42,282.18
2024,1,281.18,281.28,278.35,278.49
2025,1,280.48,280.07,282.16,283.04
2026,1,279.86,280.72,283.35,282.31
2027,1,279.24,279.52,282.88,280.65
2028,1,279.39,281.70,281.18,283.15
2029,1,278.96,282.57,279.51,278.91
2030,1,281.00,279.98,279.27,278.85
2031,1,282.13,279.49,280.14,280.64
2032,1,280.98,278.27,281.82,277.45
2033,1,281.99,279.27,281.63,280.72
2034,1,279.19,282.12,283.92,279.29
2035,1,278.03,280.08,279.30,282.02
2036,1,282.01,280.69,282.86,281.70
2037,1,279.60,281.99,281.53,277.80
2038,1,282.98,280.39,279.78,280.93
2039,1,279.99,280.66,281.20,280.88
2040,1,280.37,281.50,283.46,281.02
2041,1,278.30,282.33,280.97,282.26
2042,1,281.57,281.93,280.30,280.89
2043,1,280.56,280.14,281.21,280.51
2044,1,279.79,281.20,280.16,281.51
2045,1,278.73,280.15,281.69,280.80
2046,1,278.76,282.32,281.45,283.74
2047,1,279.08,281.85,281.77,283.33
2048,1,279.39,281.53,282.84,280.03
2049,1,279.16,282.00,281.19,281.58
2050,1,279.44,283.04,281.83,281.17
2051,1,282.38,282.60,281.49,282.72
2052,1,279.12,281.03,281.50,278.24
2053,1,279.96,280.28,283.26,281.52
2054,1,281.09,282.17,282.71,281.88
2055,1,280.24,279.67,280.74,284.78
2056,1,278.73,280.15,282.36,282.81
2057,1,280.02,281.32,283.38,282.22
2058,1,280.19,279.54,282.33,281.17
2059,1,280.77,280.91,282.52,280.06
2060,1,279.67,283.35,281.87,280.85
2061,1,280.12,280.99,283.40,280.18
2062,1,281.16,281.80,282.79,282.13
2063,1,277.95,281.79,280.95,282.22
2064,1,283.51,283.55,281.02,280.38
2065,1,280.84,282.55,280.67,281.98
2066,1,281.22,282.38,282.71,280.58
2067,1,280.37,282.17,285.37,283.11
2068,1,280.17,282.80,279.77,280.09
2069,1,278.60,283.66,281.71,281.51
2070,1,278.56,281.11,283.08,280.06
2071,1,280.26,282.55,281.48,281.81
2072,1,280.37,283.93,282.62,282.72
2073,1,281.18,283.93,281.64,283.13
2074,1,279.89,281.76,280.35,280.55
2075,1,282.00,281.28,283.66,279.81
2076,1,278.92,281.71,283.48,281.45
2077,1,281.25,282.37,283.90,280.51
2078,1,282.42,281.87,280.53,280.89
2079,1,282.26,281.28,282.78,279.31
2080,1,281.70,281.59,285.79,280.08
2081,1,280.07,280.04,280.72,280.03
2082,1,280.66,280.51,284.60,284.80
2083,1,281.57,281.37,283.63,281.24
2084,1,279.85,279.25,283.96,280.46
2085,1,278.27,283.20,281.64,280.69
2086,1,278.11,284.22,286.41,282.01
2087,1,278.59,278.86,283.68,284.88
2088,1,280.96,283.37,281.75,281.53
2089,1,280.25,280.51,285.08,283.76
2090,1,281.45,281.52,281.93,281.28
2091,1,279.09,284.35,282.16,281.58
2092,1,276.78,281.33,284.14,283.15
2093,1,282.19,280.93,280.81,282.82
2094,1,280.53,282.49,283.04,282.95
2095,1,281.86,282.12,284.43,281.31
2096,1,281.26,281.50,285.11,281.30
2097,1,280.50,281.85,284.40,282.58
2098,1,283.39,280.48,283.21,282.63
2099,1,281.05,281.50,283.72,281.74
2100,1,278.47,282.73,283.64,282.08
2001,2,282.85,282.37,281.27,283.06
2002,2,282.13,284.01,280.72,282.08
2003,2,281.00,282.38,281.48,278.60
2004,2,280.80,283.81,281.15,282.64
2005,2,284.41,281.58,283.86,283.39
2006,2,285.16,281.57,282.30,282.51
2007,2,280.07,280.99,280.87,278.46
2008,2,284.10,281.92,283.69,284.07
2009,2,285.63,282.46,282.05,280.69
2010,2,281.44,283.58,280.71,282.83
2011,2,280.55,281.09,282.85,281.77
2012,2,282.54,285.25,282.46,283.43
2013,2,281.82,282.08,280.57,281.34
2014,2,281.97,282.17,282.18,280.30
2015,2,283.18,282.38,281.91,282.10
2016,2,283.53,281.58,281.81,281.10
2017,2,282.32,282.07,285.10,283.54
2018,2,281.79,280.31,283.77,279.59
2019,2,281.30,283.01,282.57,283.03
2020,2,281.52,278.54,282.11,283.44
2021,2,282.61,283.66,283.26,283.47
2022,2,282.47,280.19,282.24,282.46
2023,2,281.51,281.90,282.00,281.91
2024,2,283.23,282.22,282.28,281.84
2025,2,280.80,282.18,282.62,285.38
2026,2,283.00,285.07,281.34,281.84
2027,2,280.91,283.04,281.06,282.50
2028,2,283.87,282.42,281.83,283.70
2029,2,283.28,284.26,283.29,283.02
2030,2,284.76,282.56,282.42,280.48
2031,2,281.89,281.48,281.37,283.45
2032,2,283.56,283.69,283.10,283.19
2033,2,281.94,282.32,281.82,284.82
2034,2,282.06,282.49,282.78,283.29
2035,2,280.53,281.92,282.32,279.51
2036,2,282.47,283.55,284.86,281.55
2037,2,280.54,287.05,281.36,284.38
2038,2,284.25,282.74,280.46,280.39
2039,2,281.33,281.35,281.81,282.69
