,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,246.44,248.80,250.58,243.65
2002,1,247.47,247.04,247.91,246.75
2003,1,247.69,244.91,250.53,248.19
2004,1,253.93,247.08,242.68,246.85
2005,1,249.32,253.82,249.74,240.93
2006,1,249.41,249.59,245.87,253.64
2007,1,237.12,255.78,251.07,255.80
2008,1,252.32,247.61,247.61,252.12
2009,1,240.54,248.65,250.50,245.70
2010,1,248.91,244.34,255.80,240.84
2011,1,247.62,249.48,245.72,246.81
2012,1,247.98,248.90,249.35,254.23
2013,1,249.97,253.32,250.90,244.03
2014,1,251.48,249.12,249.44,250.04
2015,1,244.28,245.90,262.47,252.87
2016,1,248.59,248.62,248.62,255.55
2017,1,244.02,249.31,250.84,243.48
2018,1,258.17,256.38,249.79,248.77
2019,1,248.88,242.63,245.02,248.31
2020,1,247.26,244.77,250.68,244.87
2021,1,245.61,255.10,254.29,240.89
2022,1,240.72,256.94,246.05,250.28
2023,1,246.08,252.38,256.27,248.77
2024,1,248.09,248.12,257.54,249.11
2025,1,246.36,251.98,248.18,248.46
2026,1,245.99,254.47,253.02,247.17
2027,1,250.79,248.47,252.82,254.73
2028,1,249.78,248.98,257.76,247.96
2029,1,253.61,247.92,251.15,251.43
2030,1,247.58,247.42,249.36,252.42
2031,1,251.35,248.59,246.97,258.42
2032,1,244.99,259.81,247.60,246.93
2033,1,247.76,254.81,247.59,243.74
2034,1,245.26,251.23,242.94,248.90
2035,1,250.39,254.30,256.37,242.90
2036,1,246.20,257.09,253.17,249.31
2037,1,249.39,252.48,253.06,257.95
2038,1,246.21,248.92,253.91,247.16
2039,1,258.77,254.75,257.90,252.42
2040,1,253.26,245.59,248.75,258.66
2041,1,252.31,243.76,255.58,254.29
2042,1,245.38,251.59,250.04,250.25
2043,1,249.14,252.18,254.66,251.00
2044,1,247.25,249.62,256.02,252.33
2045,1,246.00,253.38,250.00,254.04
2046,1,251.09,252.53,257.10,249.59
2047,1,247.15,250.90,255.39,251.83
2048,1,251.66,253.26,253.09,253.88
2049,1,244.25,247.06,246.94,252.15
2050,1,254.58,247.24,248.51,248.24
2051,1,241.20,249.54,256.89,242.69
2052,1,253.47,254.57,249.47,258.86
2053,1,254.84,252.82,250.13,253.81
2054,1,251.63,251.55,252.41,248.51
2055,1,250.29,254.59,248.73,247.96
2056,1,255.69,244.66,255.77,255.63
2057,1,247.30,254.49,249.16,252.14
2058,1,255.10,255.96,254.84,252.92
2059,1,252.65,251.87,254.95,253.82
2060,1,255.01,253.23,260.09,255.09
2061,1,246.43,251.52,258.66,252.69
2062,1,245.92,259.23,254.21,249.30
2063,1,251.51,252.88,254.05,252.68
2064,1,251.62,250.31,260.38,244.98
2065,1,247.34,248.38,254.87,257.71
2066,1,247.84,255.87,246.64,253.10
2067,1,249.84,249.14,250.30,252.79
2068,1,254.53,260.16,257.39,257.96
2069,1,247.55,254.28,254.65,248.87
2070,1,257.78,264.22,262.53,258.23
2071,1,252.82,253.39,256.83,244.21
2072,1,244.58,248.99,251.17,247.26
2073,1,248.74,245.76,250.39,250.62
2074,1,252.61,255.76,255.85,252.80
2075,1,239.82,255.52,253.72,256.74
2076,1,250.88,254.43,252.71,256.37
2077,1,247.28,253.89,256.99,260.24
2078,1,249.61,256.24,255.93,253.25
2079,1,252.50,253.70,257.65,253.69
2080,1,248.27,252.43,256.52,250.18
2081,1,247.52,253.72,258.14,255.00
2082,1,247.09,257.58,260.70,249.95
2083,1,251.84,259.01,260.12,257.50
2084,1,242.23,258.27,248.75,259.54
2085,1,252.08,251.42,255.21,259.51
2086,1,250.52,257.76,251.43,254.23
2087,1,250.90,260.93,261.67,243.47
2088,1,249.82,249.22,254.73,249.95
2089,1,252.89,258.19,257.17,250.16
2090,1,237.61,251.25,256.86,251.15
2091,1,254.43,261.59,259.98,254.66
2092,1,254.31,263.37,256.21,248.41
2093,1,251.39,254.91,254.35,252.44
2094,1,249.72,253.00,259.19,247.80
2095,1,254.16,254.36,256.07,250.27
2096,1,249.15,258.74,254.94,254.30
2097,1,246.68,261.67,257.88,256.45
2098,1,244.99,260.54,261.06,254.33
2099,1,253.16,260.43,261.18,250.24
2100,1,254.85,255.83,263.57,254.99
2001,2,249.03,251.48,252.07,246.39
2002,2,242.00,247.88,258.83,257.48
2003,2,250.61,249.20,251.75,247.43
2004,2,248.38,246.70,247.37,245.27
2005,2,253.51,248.74,247.33,240.44
2006,2,250.95,243.70,260.78,246.92
2007,2,256.54,255.65,258.08,256.73
2008,2,248.23,246.98,256.02,250.52
2009,2,242.14,251.56,257.93,244.32
2010,2,249.40,246.63,247.46,244.40
2011,2,252.63,253.40,252.58,251.40
2012,2,250.45,242.66,249.59,253.62
2013,2,254.86,257.32,243.57,260.79
2014,2,248.89,252.40,259.37,250.23
2015,2,252.16,258.66,253.13,256.24
2016,2,247.12,248.00,257.83,260.33
2017,2,259.26,251.34,247.70,246.18
2018,2,249.01,258.90,253.07,248.39
2019,2,247.98,248.34,246.31,251.74
2020,2,250.37,253.39,258.75,253.64
2021,2,252.69,246.69,252.11,249.30
2022,2,263.14,253.57,245.02,250.36
2023,2,246.88,250.18,254.75,250.30
2024,2,243.50,250.03,253.88,251.07
2025,2,253.85,254.31,254.86,242.51
2026,2,255.27,243.07,261.36,256.23
2027,2,251.32,255.98,256.06,245.61
2028,2,251.08,257.32,248.28,258.80
2029,2,247.41,250.17,250.54,252.27
2030,2,250.95,248.10,249.23,262.93
2031,2,251.69,256.75,253.87,256.17
2032,2,249.75,250.09,247.60,249.01
2033,2,247.26,250.29,249.78,251.25
2034,2,253.00,256.46,252.90,255.67
2035,2,251.68,248.95,249.44,250.01
2036,2,246.31,251.35,241.22,259.10
