,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,278.18,280.83,279.11,280.30
2002,1,279.86,280.69,277.97,279.80
2003,1,281.82,280.31,276.80,280.84
2004,1,279.48,278.87,282.42,279.77
2005,1,278.97,278.57,280.55,283.53
2006,1,280.75,278.59,280.34,279.52
2007,1,280.72,278.96,276.82,279.91
2008,1,278.50,280.42,281.49,279.88
2009,1,284.45,282.35,281.34,280.17
2010,1,280.18,279.12,280.40,279.26
2011,1,282.36,282.56,280.60,280.27
2012,1,278.41,281.48,280.05,281.75
2013,1,278.52,277.20,277.71,281.13
2014,1,275.90,280.83,282.52,281.49
2015,1,281.19,281.87,277.18,277.75
2016,1,284.31,279.49,282.02,280.45
2017,1,284.24,281.85,279.58,284.36
2018,1,281.78,281.31,278.78,282.71
2019,1,281.20,282.70,281.93,279.78
2020,1,281.06,279.55,280.71,283.23
2021,1,279.85,281.17,279.07,282.29
2022,1,282.46,281.04,276.74,282.47
2023,1,279.43,279.27,274.45,279.79
2024,1,281.12,279.38,276.02,277.96
2025,1,281.19,279.56,282.53,280.90
2026,1,282.01,281.60,282.35,284.82
2027,1,277.65,279.37,278.86,280.96
2028,1,278.57,280.66,282.68,284.45
2029,1,280.06,282.27,277.51,277.80
2030,1,279.74,279.24,279.72,279.41
2031,1,282.22,280.59,281.11,278.65
2032,1,280.43,279.40,280.48,275.69
2033,1,281.22,279.88,282.44,280.05
2034,1,279.85,283.85,283.26,278.33
2035,1,277.89,279.40,280.01,282.49
2036,1,283.56,280.21,280.38,281.73
2037,1,278.37,280.39,281.86,278.87
2038,1,282.99,280.40,278.71,282.43
2039,1,281.86,279.18,279.38,278.30
2040,1,279.70,281.91,282.60,280.52
2041,1,279.57,280.29,283.19,279.92
2042,1,280.43,281.66,283.16,278.32
2043,1,281.01,281.89,280.18,278.85
2044,1,280.43,279.53,280.37,281.94
2045,1,277.96,277.15,280.02,281.50
2046,1,280.15,284.56,280.30,283.40
2047,1,279.44,281.34,282.25,282.51
2048,1,277.32,281.03,283.80,279.67
2049,1,277.21,283.58,280.54,281.96
2050,1,278.96,281.85,282.01,281.21
2051,1,282.35,279.42,282.08,282.68
2052,1,278.81,281.04,278.25,278.51
2053,1,279.69,281.39,280.30,278.93
2054,1,280.24,283.30,280.28,280.76
2055,1,281.21,279.35,278.65,283.10
2056,1,278.42,280.22,280.17,281.69
2057,1,279.76,281.80,283.85,281.96
2058,1,279.35,280.25,281.33,282.12
2059,1,277.72,281.04,283.06,277.65
2060,1,278.54,284.10,282.78,279.85
2061,1,279.68,279.99,282.21,280.95
2062,1,281.87,282.19,283.39,281.66
2063,1,278.32,282.48,281.93,283.21
2064,1,281.81,283.83,282.23,280.59
2065,1,281.66,280.23,281.81,282.05
2066,1,281.92,283.85,282.91,280.81
2067,1,281.11,280.27,284.43,283.63
2068,1,277.11,284.62,280.76,278.05
2069,1,281.39,281.41,282.46,280.75
2070,1,280.64,279.95,282.69,281.27
2071,1,278.03,281.70,281.22,278.61
2072,1,278.82,281.71,282.58,282.13
2073,1,280.21,284.84,279.76,283.59
2074,1,279.69,279.42,280.41,280.05
2075,1,283.34,279.08,284.30,276.13
2076,1,278.79,279.90,286.85,281.17
2077,1,280.81,283.64,282.56,280.07
2078,1,281.04,281.43,280.44,280.35
2079,1,281.54,282.52,280.44,278.53
2080,1,282.04,279.68,285.89,282.11
2081,1,279.66,280.04,281.68,278.83
2082,1,282.17,281.01,286.60,282.39
2083,1,278.78,282.19,284.03,279.45
2084,1,278.75,280.48,284.40,280.41
2085,1,276.43,283.95,278.78,279.85
2086,1,277.78,283.29,283.24,281.07
2087,1,279.86,278.89,284.52,284.69
2088,1,279.89,282.82,282.68,281.10
2089,1,279.88,283.32,286.13,283.20
2090,1,281.55,281.32,279.47,281.01
2091,1,279.34,284.00,280.76,281.11
2092,1,277.62,279.02,282.59,284.10
2093,1,282.95,281.73,281.94,284.36
2094,1,278.98,280.75,283.46,284.07
2095,1,281.20,280.54,283.28,279.92
2096,1,279.98,283.32,285.17,281.10
2097,1,281.52,283.60,284.49,280.61
2098,1,283.95,279.78,282.65,281.22
2099,1,280.92,283.02,285.24,280.53
2100,1,278.80,283.56,285.47,282.92
2001,2,282.74,282.04,283.21,283.70
2002,2,281.42,283.93,281.22,281.47
2003,2,283.32,282.70,282.83,278.21
2004,2,283.69,284.68,281.64,285.63
2005,2,285.25,281.91,281.98,283.05
2006,2,285.16,281.65,284.45,284.38
2007,2,281.41,282.14,282.94,280.25
2008,2,282.74,281.16,283.62,285.60
2009,2,283.27,285.87,278.61,281.03
2010,2,282.96,283.12,283.52,281.86
2011,2,281.49,281.41,283.15,282.14
2012,2,282.35,285.34,282.14,283.69
2013,2,283.03,281.76,278.21,282.07
2014,2,281.28,281.13,283.22,279.84
2015,2,282.21,283.21,283.26,281.04
2016,2,282.43,284.07,280.08,282.65
2017,2,282.71,281.73,284.08,282.33
2018,2,281.18,278.03,287.25,277.52
2019,2,280.95,282.25,283.03,283.04
2020,2,282.47,280.57,284.26,284.79
2021,2,283.28,285.40,282.98,282.96
2022,2,283.45,279.35,281.96,279.82
2023,2,282.53,282.56,282.09,281.86
2024,2,280.55,284.69,281.60,282.70
2025,2,278.83,283.71,283.41,285.95
2026,2,284.32,287.31,281.69,282.72
2027,2,282.57,283.95,280.45,281.34
2028,2,284.51,284.70,283.65,284.05
2029,2,285.84,285.01,282.87,283.33
2030,2,284.88,284.15,283.29,280.15
2031,2,282.83,283.64,283.77,282.50
2032,2,281.98,285.21,283.81,283.20
2033,2,281.05,282.52,282.68,285.43
2034,2,280.15,283.84,284.25,284.65
2035,2,282.07,281.90,285.61,277.92
2036,2,282.35,283.41,285.14,280.49
2037,2,280.49,286.35,282.31,287.01
2038,2,282.92,281.02,281.82,280.87
2039,2,286.27,281.21,282.40,281.58
2040,2,281.53,284.67,282.36,282.61
2041,2,281.63,284.28,284.11,283.79
2042,2,285.09,282.31,285.52,284.19
2043,2,282.02,284.14,282.72,283.22
2044,2,281.78,281.33,283.92,282.08
2045,2,282.71,283.61,282.28,283.15
2046,2,285.91,286.67,284.58,282.76
2047,2,283.23,284.94,281.65,283.00
2048,2,281.29,283.81,283.78,284.69
2049,2,279.64,284.08,281.45,284.17
2050,2,282.81,284.83,286.22,283.54
2051,2,281.43,280.27,283.98,284.50
2052,2,279.28,286.55,287.81,282.72
2053,2,282.45,284.82,281.83,284.46
2054,2,281.50,283.39,284.16,282.86
2055,2,283.50,283.61,281.87,283.65
2056,2,279.23,284.45,284.01,283.51
2057,2,284.19,284.39,282.95,283.42
2058,2,281.89,283.80,282.29,280.36
2059,2,281.92,285.94,282.72,282.74
2060,2,283.35,283.20,284.28,284.68
2061,2,284.17,283.71,283.80,281.83
2062,2,281.26,283.59,284.03,286.44
2063,2,282.18,284.10,282.91,286.85
2064,2,285.25,284.78,283.35,284.75
2065,2,283.60,284.97,286.87,282.73
2066,2,284.57,283.08,285.03,283.44
2067,2,281.34,284.44,286.95,287.43
2068,2,279.18,281.21,285.13,282.97
2069,2,283.21,284.78,283.78,283.31
2070,2,282.55,288.32,285.35,285.17
2071,2,280.86,286.05,285.77,283.50
2072,2,279.88,284.53,284.66,286.32
2073,2,280.57,286.42,286.31,281.78
2074,2,282.73,282.76,283.36,282.35
2075,2,284.79,284.71,287.01,283.41
2076,2,279.75,283.90,286.83,284.57
2077,2,283.40,287.79,284.09,283.79
2078,2,281.55,285.05,284.83,286.94
2079,2,277.59,281.41,283.39,281.50
2080,2,284.73,288.22,288.40,282.77
2081,2,282.89,284.32,285.47,284.06
2082,2,286.46,283.48,286.20,280.57
2083,2,281.41,284.40,284.60,282.18
2084,2,282.96,281.65,285.04,281.66
2085,2,284.55,286.61,286.12,281.25
2086,2,283.82,285.48,285.66,283.91
2087,2,281.29,285.20,285.66,285.56
2088,2,280.20,287.71,288.61,284.78
2089,2,283.65,288.06,285.77,282.57
2090,2,283.15,288.96,284.59,283.08
2091,2,283.26,286.09,286.01,284.24
2092,2,284.88,285.06,285.50,282.34
2093,2,283.06,285.09,284.51,283.98
2094,2,284.72,285.29,287.88,282.16
2095,2,285.07,285.01,285.28,282.93
2096,2,284.87,285.71,286.31,281.98
2097,2,282.81,284.72,287.24,284.56
2098,2,282.30,288.85,284.25,284.07
2099,2,283.52,283.19,286.78,280.42
2100,2,281.35,286.34,286.89,283.96
2001,3,284.75,287.57,285.89,287.42
2002,3,286.73,285.65,285.23,285.47
2003,3,285.05,286.84,286.14,282.68
2004,3,287.48,288.65,285.92,286.63
2005,3,285.98,283.66,286.18,288.11
2006,3,288.69,284.69,285.43,288.42
2007,3,285.86,286.82,288.99,282.82
2008,3,285.25,287.59,288.01,286.13
2009,3,288.59,285.18,284.50,288.61
2010,3,287.18,286.17,290.30,287.08
2011,3,288.56,285.56,287.38,284.64
2012,3,286.43,287.49,285.92,286.49
2013,3,282.62,286.49,285.18,287.34
2014,3,288.07,286.10,289.35,287.38
2015,3,285.82,289.03,287.06,287.23
2016,3,289.77,284.41,286.77,290.24
2017,3,286.46,286.32,285.62,288.29
2018,3,285.89,285.89,291.27,284.38
2019,3,287.70,285.08,288.37,288.04
2020,3,287.03,286.88,288.23,286.16
2021,3,286.56,284.96,286.86,288.39
2022,3,285.69,289.45,286.02,285.76
2023,3,286.16,286.37,287.23,283.36
2024,3,288.36,284.85,286.12,286.20
2025,3,289.59,286.68,286.73,287.93
2026,3,286.32,293.05,287.69,287.75
2027,3,285.89,287.54,287.72,285.82
2028,3,286.94,290.01,288.70,291.68
2029,3,292.52,287.57,286.81,285.65
2030,3,286.43,286.88,288.89,286.01
2031,3,289.09,290.25,286.93,285.97
2032,3,288.83,286.94,287.69,285.07
2033,3,286.20,287.70,288.40,286.45
2034,3,285.88,285.34,285.93,290.54
2035,3,285.13,285.99,292.49,285.00
2036,3,286.30,287.30,287.78,287.55
2037,3,285.10,285.47,290.15,286.84
2038,3,285.78,289.09,286.28,288.78
2039,3,287.57,286.84,284.85,287.19
2040,3,287.67,289.81,287.98,288.55
2041,3,283.23,289.05,289.89,285.86
2042,3,284.51,288.99,287.70,287.25
2043,3,285.56,285.22,286.64,286.78
2044,3,287.91,288.77,288.86,287.19
2045,3,284.61,286.43,288.19,286.63
2046,3,290.48,289.56,291.85,286.62
2047,3,287.09,286.44,287.31,286.79
2048,3,285.34,288.38,290.41,287.81
2049,3,285.40,288.42,287.07,287.76
2050,3,288.99,288.98,284.98,292.01
2051,3,286.74,287.77,287.96,284.64
2052,3,286.15,291.66,288.81,286.69
2053,3,284.40,288.08,287.80,285.54
2054,3,284.98,287.20,285.45,287.35
2055,3,285.50,287.54,289.97,286.43
2056,3,288.18,288.87,288.13,287.49
2057,3,284.73,290.21,287.13,286.42
2058,3,288.34,288.10,288.45,287.21
2059,3,287.73,289.34,289.27,286.80
2060,3,289.41,287.73,292.78,287.46
2061,3,287.12,289.33,287.00,286.45
2062,3,287.18,286.21,290.93,288.20
2063,3,285.50,287.33,287.64,287.70
2064,3,290.40,290.59,291.21,291.35
2065,3,288.28,287.22,288.56,286.45
2066,3,287.71,289.17,292.38,287.17
2067,3,287.47,289.32,290.15,288.28
2068,3,287.03,289.67,287.79,287.53
2069,3,285.98,289.08,288.63,287.41
2070,3,287.62,288.55,291.46,285.65
2071,3,286.75,287.14,289.19,288.57
2072,3,285.52,287.94,293.60,290.52
2073,3,284.61,289.83,289.18,286.62
2074,3,285.26,288.60,289.54,287.95
2075,3,288.05,286.98,289.54,287.41
2076,3,286.24,289.70,289.88,287.65
2077,3,285.31,291.76,287.71,288.01
2078,3,290.71,287.94,291.67,287.20
2079,3,287.15,289.57,289.71,288.61
2080,3,286.37,286.91,289.88,290.69
2081,3,289.15,291.17,288.26,287.26
2082,3,285.81,290.71,294.06,287.69
2083,3,285.77,289.40,287.65,287.13
2084,3,285.16,292.95,289.92,288.21
2085,3,287.37,293.51,289.06,286.20
2086,3,286.88,289.40,291.62,286.34
2087,3,284.62,288.54,293.22,288.32
2088,3,288.66,289.64,293.94,288.88
2089,3,287.95,290.42,288.86,287.08
2090,3,287.01,290.29,287.71,290.41
2091,3,285.79,291.72,290.44,288.22
2092,3,287.85,288.15,293.30,286.83
2093,3,288.47,290.17,292.05,285.51
2094,3,286.73,286.43,289.98,288.56
2095,3,287.47,289.35,293.03,290.09
2096,3,286.78,289.65,296.21,287.22
2097,3,289.33,289.40,293.36,288.04
2098,3,284.97,287.94,292.01,287.74
2099,3,285.28,289.24,292.74,288.03
2100,3,285.29,290.72,290.98,288.42
2001,4,291.54,289.82,289.93,289.50
2002,4,293.14,291.75,290.33,291.25
2003,4,291.50,288.31,293.95,291.52
2004,4,293.91,289.09,291.06,293.46
2005,4,289.90,289.95,291.86,291.28
2006,4,292.57,291.91,290.70,292.09
2007,4,290.99,290.81,290.03,290.68
2008,4,293.48,291.44,291.23,292.26
2009,4,293.73,292.50,291.20,292.48
2010,4,290.58,289.37,291.14,291.52
2011,4,292.63,292.04,290.61,292.36
2012,4,289.16,296.60,292.43,293.52
2013,4,291.10,292.69,290.65,293.09
2014,4,290.56,292.39,290.84,292.21
2015,4,293.44,291.00,289.97,291.08
2016,4,290.62,293.02,292.92,294.91
2017,4,292.88,293.03,291.35,292.25
2018,4,295.37,291.72,296.29,289.65
2019,4,293.26,294.71,292.56,292.89
2020,4,289.70,292.51,294.84,294.11
2021,4,292.28,291.63,294.63,289.70
2022,4,295.13,293.25,292.09,290.63
2023,4,293.78,293.96,292.20,292.80
2024,4,293.55,291.65,293.46,295.13
2025,4,294.11,296.65,288.55,292.25
2026,4,290.25,292.17,296.61,292.63
2027,4,291.56,292.78,290.15,293.25
2028,4,291.14,292.82,293.81,291.36
2029,4,292.62,295.01,292.49,292.47
2030,4,291.73,293.37,290.38,291.57
2031,4,292.50,292.79,296.09,293.33
2032,4,290.78,293.72,295.27,290.75
2033,4,294.07,293.56,291.55,291.13
2034,4,292.88,292.61,294.02,294.90
2035,4,291.72,289.18,295.92,291.41
2036,4,291.73,290.88,293.35,290.00
2037,4,291.62,292.35,293.15,297.06
2038,4,292.59,288.89,292.37,292.39
2039,4,294.71,291.60,294.10,291.77
2040,4,289.70,294.45,291.56,292.81
2041,4,291.27,293.43,293.04,293.39
2042,4,290.41,293.21,295.55,294.32
2043,4,290.61,292.42,292.01,291.22
2044,4,292.37,295.21,296.52,293.92
