,,Committed ,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,280.75,280.84,281.54,281.64
2002,1,280.02,284.25,281.62,281.77
2003,1,280.08,283.49,281.95,282.26
2004,1,281.75,281.36,283.75,282.21
2005,1,280.56,282.29,282.38,283.20
2006,1,282.59,281.71,283.40,280.65
2007,1,283.20,279.18,279.94,282.65
2008,1,280.84,283.70,284.03,280.68
2009,1,283.05,281.19,281.50,282.61
2010,1,282.64,283.05,280.19,283.85
2011,1,283.27,281.67,283.56,282.09
2012,1,283.26,283.11,282.68,281.74
2013,1,280.22,281.51,282.21,282.38
2014,1,281.36,281.73,282.99,282.67
2015,1,282.66,282.13,282.84,281.45
2016,1,283.12,284.05,281.59,281.59
2017,1,283.31,281.92,283.51,283.47
2018,1,281.23,280.28,282.55,285.11
2019,1,281.76,282.66,281.65,281.44
2020,1,280.60,283.14,281.14,283.89
2021,1,281.87,282.94,280.54,283.02
2022,1,283.63,282.46,281.69,281.70
2023,1,282.87,283.24,281.60,283.55
2024,1,281.74,282.90,283.02,281.59
2025,1,282.26,281.97,282.85,284.02
2026,1,280.97,281.71,284.00,283.28
2027,1,281.47,280.82,284.18,280.78
2028,1,280.41,282.78,281.56,283.35
2029,1,280.82,282.79,282.41,282.17
2030,1,282.40,282.39,280.63,281.12
2031,1,283.07,280.61,280.88,283.29
2032,1,281.93,278.94,283.47,281.89
2033,1,283.11,280.37,281.78,282.97
2034,1,280.75,282.14,284.69,281.42
2035,1,280.99,282.96,281.12,283.06
2036,1,281.29,282.51,284.95,283.71
2037,1,281.70,283.20,282.83,279.75
2038,1,283.92,282.08,281.87,281.92
2039,1,280.84,281.88,282.67,283.57
2040,1,281.66,281.64,284.65,282.54
2041,1,280.05,283.60,281.02,284.31
2042,1,283.40,283.60,280.73,283.43
2043,1,282.46,281.70,283.19,283.04
2044,1,281.33,282.92,281.76,282.40
2045,1,280.82,283.92,283.62,282.21
2046,1,280.10,282.91,284.39,284.16
2047,1,281.74,283.33,282.72,284.36
2048,1,282.28,282.19,282.89,281.93
2049,1,281.41,281.86,282.03,282.41
2050,1,280.91,284.25,282.90,281.98
2051,1,282.89,284.39,282.29,283.89
2052,1,281.84,283.01,283.82,280.41
2053,1,281.76,281.27,285.40,283.92
2054,1,282.66,283.73,283.91,283.15
2055,1,281.53,282.59,282.72,285.10
2056,1,280.90,282.25,284.13,283.07
2057,1,281.32,281.82,283.90,283.72
2058,1,281.91,282.37,284.28,282.49
2059,1,283.23,283.12,281.54,283.50
2060,1,280.98,283.92,282.26,283.07
2061,1,281.77,284.17,283.90,280.55
2062,1,282.07,283.62,283.16,282.92
2063,1,281.06,282.21,281.65,281.69
2064,1,284.59,284.36,281.56,281.89
2065,1,281.55,283.54,281.66,281.98
2066,1,281.65,282.83,283.75,281.55
2067,1,280.56,284.03,286.49,284.28
2068,1,283.00,282.43,282.02,282.14
2069,1,279.52,285.13,282.81,283.12
2070,1,278.79,283.87,282.75,281.95
2071,1,281.86,284.96,283.88,283.36
2072,1,282.83,284.96,284.01,283.24
2073,1,282.62,285.35,285.06,283.11
2074,1,281.68,284.09,282.98,283.09
2075,1,282.19,283.27,285.02,283.87
2076,1,280.57,284.48,283.51,283.27
2077,1,282.89,283.55,285.26,281.47
2078,1,283.40,283.44,282.61,282.95
2079,1,283.33,282.81,284.75,281.68
2080,1,283.26,283.48,285.55,281.40
2081,1,281.28,282.55,282.14,282.88
2082,1,280.48,283.42,285.39,286.94
2083,1,283.36,282.22,283.58,284.25
2084,1,283.48,280.84,285.33,281.89
2085,1,281.58,284.19,284.93,282.90
2086,1,279.36,285.74,287.53,283.36
2087,1,279.80,280.71,284.75,285.20
2088,1,283.28,285.24,283.77,282.82
2089,1,281.14,283.11,285.75,284.21
2090,1,283.05,283.18,285.30,283.11
2091,1,280.43,285.64,285.06,283.57
2092,1,279.75,283.96,285.70,284.27
2093,1,282.18,282.11,282.79,283.78
2094,1,282.16,284.37,284.46,283.74
2095,1,282.97,283.56,285.83,283.30
2096,1,282.82,281.75,285.13,282.46
2097,1,282.59,282.89,286.10,284.17
2098,1,283.52,282.31,284.05,284.32
2099,1,282.61,282.23,284.53,283.70
2100,1,281.00,283.84,284.75,282.11
2001,2,283.84,283.32,282.26,284.38
2002,2,284.10,285.17,281.72,283.31
2003,2,280.78,283.70,282.21,281.01
2004,2,282.00,285.16,283.08,283.59
2005,2,284.71,283.25,284.10,284.71
2006,2,285.27,282.65,282.26,283.20
2007,2,279.73,281.89,281.18,280.05
2008,2,286.18,283.60,285.90,284.88
2009,2,287.09,282.09,284.58,282.85
2010,2,281.76,284.00,281.71,284.63
2011,2,281.45,283.79,284.36,282.34
2012,2,284.22,285.55,283.99,284.10
2013,2,281.61,283.79,283.69,282.35
2014,2,282.93,284.29,282.98,283.54
2015,2,284.30,283.41,282.72,283.71
2016,2,285.18,283.61,285.36,281.80
2017,2,283.55,283.67,287.45,286.32
2018,2,283.42,281.02,283.51,283.25
2019,2,283.37,284.48,283.70,284.70
2020,2,282.05,279.18,282.70,284.68
2021,2,283.19,284.41,284.06,285.07
2022,2,283.41,283.92,284.53,284.60
2023,2,283.28,284.67,282.95,283.45
2024,2,285.51,282.89,283.31,283.04
2025,2,283.66,283.44,283.68,285.81
2026,2,282.92,285.67,283.20,283.07
2027,2,282.56,283.96,282.43,284.34
2028,2,284.74,283.33,283.49,284.60
2029,2,282.69,285.04,284.85,284.07
2030,2,285.40,283.46,284.29,282.99
2031,2,282.16,282.68,281.72,285.47
2032,2,285.30,283.50,285.56,284.28
2033,2,284.49,283.86,283.30,285.61
2034,2,283.76,282.32,283.43,283.80
2035,2,282.10,283.29,282.86,282.90
2036,2,284.08,284.76,286.75,284.91
2037,2,281.90,287.87,283.46,285.31
2038,2,284.96,285.38,281.50,283.81
2039,2,281.06,283.00,283.31,284.98
2040,2,280.92,284.28,285.82,283.40
2041,2,283.29,283.35,285.75,284.55
2042,2,286.16,282.83,281.72,284.32
2043,2,282.09,285.68,284.60,285.21
2044,2,282.85,286.48,283.84,285.84
2045,2,284.21,285.93,282.00,282.40
2046,2,283.23,285.13,285.49,285.36
2047,2,283.01,284.06,286.10,284.98
2048,2,282.12,282.91,284.30,282.31
2049,2,281.39,283.95,285.65,284.75
2050,2,282.77,284.85,285.36,282.03
2051,2,284.41,283.56,283.88,286.60
2052,2,281.78,282.98,285.24,283.33
2053,2,284.25,283.00,284.31,284.26
2054,2,282.62,286.05,285.17,282.53
2055,2,284.61,281.99,283.57,284.22
2056,2,281.98,285.57,283.05,286.71
2057,2,284.76,282.88,283.79,283.59
2058,2,283.75,282.12,284.91,284.66
2059,2,282.38,284.94,284.52,283.62
2060,2,283.26,284.11,282.86,285.34
2061,2,284.23,283.54,283.86,283.86
2062,2,281.34,283.11,284.45,284.50
2063,2,282.73,281.67,282.96,283.35
2064,2,284.38,286.23,284.51,282.93
2065,2,284.65,284.74,284.43,284.52
