,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,256.76,261.73,262.95,259.15
2002,1,261.14,261.76,264.94,264.43
2003,1,261.26,266.03,258.56,261.84
2004,1,266.88,267.46,264.11,266.88
2005,1,265.18,260.85,265.75,256.49
2006,1,262.73,266.02,265.06,268.88
2007,1,254.25,267.63,264.13,270.52
2008,1,267.21,265.77,266.76,261.34
2009,1,260.96,265.65,262.20,267.44
2010,1,265.57,263.71,271.43,263.15
2011,1,268.78,263.39,262.43,262.66
2012,1,262.62,264.99,267.33,268.32
2013,1,266.30,264.41,264.06,264.69
2014,1,268.04,261.55,262.05,263.69
2015,1,264.42,264.47,270.56,264.66
2016,1,268.54,260.35,263.85,269.23
2017,1,263.80,266.53,264.42,270.59
2018,1,267.73,266.44,264.14,264.43
2019,1,261.17,258.20,268.89,267.71
2020,1,261.35,266.47,266.40,259.93
2021,1,262.58,267.99,265.03,260.58
2022,1,259.51,268.36,261.52,267.07
2023,1,262.78,265.80,265.59,265.92
2024,1,264.63,262.70,268.19,264.47
2025,1,266.36,263.21,267.95,268.39
2026,1,264.96,265.08,267.05,269.59
2027,1,268.80,266.69,262.94,266.53
2028,1,262.11,263.02,270.75,261.41
2029,1,268.82,265.83,261.94,265.59
2030,1,265.12,261.36,265.63,266.06
2031,1,262.98,264.49,262.88,268.57
2032,1,266.32,272.98,263.97,267.54
2033,1,266.77,268.26,269.57,267.17
2034,1,261.56,265.79,260.26,263.04
2035,1,268.32,267.68,267.99,259.13
2036,1,265.41,269.15,265.10,266.36
2037,1,265.90,267.89,270.25,268.79
2038,1,264.20,265.70,265.46,267.29
2039,1,264.85,264.90,266.92,267.38
2040,1,263.40,259.55,260.79,272.40
2041,1,268.28,263.98,271.46,269.03
2042,1,266.07,265.55,267.11,262.79
2043,1,264.50,269.08,268.17,266.39
2044,1,269.64,260.08,268.10,264.79
2045,1,262.85,270.23,261.89,266.35
2046,1,268.35,265.83,271.31,264.98
2047,1,265.78,268.69,270.67,266.64
2048,1,259.35,266.28,269.15,260.88
2049,1,265.75,266.68,266.50,266.09
2050,1,266.90,268.40,268.58,262.91
2051,1,260.47,260.60,268.90,263.50
2052,1,267.00,264.24,268.94,270.09
2053,1,266.74,265.62,265.81,265.90
2054,1,266.10,259.09,263.80,260.02
2055,1,267.39,268.53,260.83,258.09
2056,1,268.17,270.70,268.02,268.05
2057,1,261.97,269.99,265.25,270.00
2058,1,268.63,271.27,268.67,267.61
2059,1,265.45,265.03,270.06,265.63
2060,1,267.35,265.21,270.66,271.78
2061,1,263.30,262.16,270.30,269.66
2062,1,261.54,269.21,268.75,266.10
2063,1,269.20,268.20,268.18,267.29
2064,1,267.32,266.40,270.10,266.54
2065,1,264.08,263.12,269.70,269.14
2066,1,261.12,267.32,268.68,264.06
2067,1,267.65,269.24,262.82,267.81
2068,1,258.42,271.11,271.12,265.52
2069,1,269.23,264.31,271.56,263.49
2070,1,269.94,266.41,271.83,267.49
2071,1,267.34,265.38,268.71,261.95
2072,1,256.04,266.63,267.34,263.81
2073,1,266.54,265.84,265.42,271.39
2074,1,265.78,268.62,267.84,267.52
2075,1,260.43,270.58,269.23,265.48
2076,1,266.22,268.88,266.88,270.88
2077,1,267.12,270.76,267.49,271.55
2078,1,262.70,271.56,270.64,268.27
2079,1,264.65,270.83,268.36,268.48
2080,1,261.98,269.59,266.62,262.85
2081,1,264.47,268.16,269.03,268.71
2082,1,268.32,269.68,273.39,267.23
2083,1,268.95,268.37,273.07,272.44
2084,1,259.01,269.97,269.47,271.60
2085,1,263.57,266.57,267.42,271.35
2086,1,262.14,271.57,263.70,269.56
2087,1,260.62,273.42,271.62,267.53
2088,1,266.70,267.82,270.26,262.74
2089,1,269.64,268.56,273.49,264.53
2090,1,256.43,270.90,271.82,270.07
2091,1,269.44,274.17,264.22,265.64
2092,1,266.67,271.71,271.82,265.01
2093,1,266.73,268.21,271.20,269.85
2094,1,267.35,266.65,273.49,270.48
2095,1,262.14,269.36,269.11,265.87
2096,1,263.49,271.23,266.36,266.84
2097,1,262.34,272.99,270.30,269.44
2098,1,257.08,270.20,271.47,269.82
2099,1,267.79,274.47,274.43,267.67
2100,1,266.91,267.14,271.83,267.31
2001,2,256.11,269.06,269.47,260.71
2002,2,267.16,266.90,269.38,270.04
2003,2,267.71,264.89,268.46,260.40
2004,2,268.54,263.74,266.25,264.53
2005,2,268.84,257.28,265.01,261.89
2006,2,265.67,264.06,273.79,269.93
2007,2,264.77,270.59,273.15,270.63
2008,2,270.01,262.56,268.09,262.95
2009,2,257.11,267.33,270.26,265.39
2010,2,267.82,262.90,266.05,266.04
2011,2,267.71,265.19,266.20,263.19
2012,2,265.39,259.29,267.68,269.32
2013,2,267.58,271.78,260.05,270.58
2014,2,269.77,260.70,268.89,266.16
2015,2,268.64,269.37,264.06,270.78
2016,2,262.62,269.90,270.40,273.51
2017,2,272.05,268.01,262.58,268.78
2018,2,262.33,266.32,269.07,266.44
2019,2,263.20,260.91,260.90,262.99
2020,2,267.93,270.07,273.07,270.35
2021,2,264.96,262.65,262.60,262.25
2022,2,269.76,267.51,263.18,268.21
2023,2,263.61,260.68,271.97,268.10
2024,2,260.64,269.26,270.59,261.26
2025,2,267.00,263.56,271.63,254.53
2026,2,270.47,257.68,272.05,271.06
2027,2,272.09,268.86,268.35,262.67
2028,2,266.17,268.00,264.45,267.01
2029,2,265.10,261.28,261.78,270.88
2030,2,272.22,265.85,265.37,272.97
2031,2,264.66,267.70,264.67,269.97
2032,2,260.11,267.22,265.11,263.40
2033,2,267.87,258.50,270.62,264.52
2034,2,262.27,268.17,266.74,271.66
2035,2,269.89,264.11,273.18,263.41
2036,2,267.92,268.81,260.73,271.18
2037,2,267.38,267.43,272.56,263.94
2038,2,268.64,267.57,270.41,270.90
2039,2,268.81,266.74,268.92,267.02
2040,2,264.86,266.09,260.48,269.61
2041,2,270.40,269.09,269.67,273.36
2042,2,262.37,270.74,267.69,272.49
2043,2,272.93,269.75,269.12,265.15
2044,2,270.83,266.01,266.38,264.75
2045,2,261.36,269.06,272.76,268.46
2046,2,258.05,261.82,270.07,264.52
2047,2,270.12,274.33,264.35,266.58
2048,2,264.23,272.61,264.93,264.32
2049,2,270.71,271.87,267.94,273.69
2050,2,265.88,273.39,265.40,269.58
2051,2,265.41,271.37,275.60,270.02
2052,2,270.69,272.31,266.40,262.33
2053,2,267.85,267.94,269.09,270.35
2054,2,268.22,271.56,268.00,270.06
2055,2,266.45,269.19,269.53,265.74
2056,2,269.17,272.04,270.49,270.33
2057,2,258.92,269.91,271.41,268.54
2058,2,266.66,272.51,269.46,273.79
2059,2,270.54,272.93,274.34,268.32
2060,2,262.67,271.22,271.65,265.12
2061,2,270.70,272.17,274.47,269.74
2062,2,266.52,268.37,268.66,263.33
2063,2,271.71,273.48,275.60,270.22
2064,2,266.77,267.57,266.30,271.20
2065,2,270.15,272.09,273.84,273.23
2066,2,259.88,270.36,270.59,271.27
2067,2,269.43,269.71,260.34,266.67
2068,2,262.77,272.04,267.90,270.17
2069,2,265.91,256.89,268.72,269.95
2070,2,271.36,263.56,270.21,268.33
2071,2,269.27,272.12,257.07,265.76
2072,2,268.11,267.37,267.90,265.40
2073,2,271.36,266.56,267.62,264.13
2074,2,267.01,269.12,272.32,268.50
2075,2,263.07,270.14,270.40,272.89
2076,2,266.17,271.16,269.02,273.02
2077,2,270.48,269.98,271.32,269.62
2078,2,264.55,269.63,268.47,270.63
2079,2,272.33,274.33,272.70,266.80
2080,2,266.09,264.85,270.27,265.56
2081,2,266.59,271.30,273.00,268.33
2082,2,269.25,266.88,273.87,269.99
2083,2,270.08,269.72,272.65,268.37
2084,2,264.49,270.72,271.49,265.45
2085,2,265.38,270.49,271.64,273.73
2086,2,266.91,269.79,266.17,273.95
2087,2,265.53,273.36,274.57,266.93
2088,2,259.48,269.80,275.18,266.67
2089,2,273.17,275.82,272.25,269.64
2090,2,259.13,268.64,274.98,273.31
2091,2,268.42,270.92,266.44,271.08
2092,2,270.16,272.54,272.80,271.19
2093,2,270.87,264.85,265.55,270.96
2094,2,257.46,270.21,274.24,270.96
2095,2,259.17,269.77,272.31,271.19
2096,2,267.08,267.12,271.90,270.88
2097,2,265.55,273.48,273.36,269.25
2098,2,265.67,266.33,272.52,273.49
2099,2,268.36,271.56,273.87,270.68
