,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,253.48,258.00,259.99,253.27
2002,1,253.71,259.23,260.93,259.48
2003,1,256.94,258.19,256.75,258.64
2004,1,265.02,262.18,258.95,261.86
2005,1,260.55,260.83,260.82,252.00
2006,1,258.62,260.21,260.01,262.54
2007,1,248.57,263.76,260.98,267.41
2008,1,265.30,260.58,261.83,257.96
2009,1,254.65,260.79,257.01,260.95
2010,1,261.01,258.87,268.10,257.88
2011,1,264.71,257.97,256.15,258.96
2012,1,260.31,262.38,262.75,262.29
2013,1,261.08,261.76,259.68,257.33
2014,1,263.79,258.35,258.91,260.09
2015,1,260.30,259.85,268.88,261.42
2016,1,264.08,256.44,259.79,263.72
2017,1,257.35,261.08,260.95,265.56
2018,1,263.51,264.42,258.43,259.87
2019,1,255.73,253.52,262.97,261.87
2020,1,257.21,260.25,260.75,254.65
2021,1,257.81,264.00,263.81,254.64
2022,1,255.51,265.04,258.13,263.81
2023,1,259.45,262.24,262.69,262.56
2024,1,259.15,257.22,266.02,258.63
2025,1,260.22,260.35,263.09,263.40
2026,1,259.77,260.38,264.11,262.96
2027,1,265.19,261.93,260.75,262.80
2028,1,260.95,259.36,268.22,256.96
2029,1,264.62,260.78,259.14,261.64
2030,1,260.94,256.42,260.61,263.14
2031,1,260.25,261.45,258.16,265.12
2032,1,261.15,270.12,258.53,261.23
2033,1,261.80,264.05,262.98,261.26
2034,1,257.68,261.22,253.12,259.61
2035,1,262.19,264.61,264.48,253.98
2036,1,258.23,265.00,262.41,260.83
2037,1,260.24,263.38,265.72,265.63
2038,1,259.16,262.63,261.61,263.19
2039,1,264.07,261.67,262.81,262.59
2040,1,259.64,256.29,257.26,270.41
2041,1,264.07,258.32,268.54,265.65
2042,1,260.93,261.35,262.48,259.60
2043,1,260.42,266.11,268.42,261.98
2044,1,264.46,256.16,264.62,260.13
2045,1,259.80,267.36,259.47,262.86
2046,1,264.27,261.53,268.75,260.11
2047,1,260.50,263.33,266.96,262.28
2048,1,255.28,263.65,264.95,258.14
2049,1,259.93,259.14,259.98,261.67
2050,1,264.27,265.31,263.42,259.07
2051,1,256.25,255.07,264.85,256.60
2052,1,263.19,261.62,263.27,267.43
2053,1,263.03,262.47,262.32,261.38
2054,1,262.70,256.14,261.38,257.54
2055,1,262.52,266.37,256.98,257.05
2056,1,265.43,266.13,265.93,264.03
2057,1,257.65,266.63,259.81,266.00
2058,1,265.25,268.12,264.02,262.78
2059,1,262.74,259.98,267.11,262.86
2060,1,263.57,260.19,267.60,268.65
2061,1,257.76,259.95,267.72,264.75
2062,1,257.82,267.50,265.23,262.41
2063,1,264.93,262.90,264.29,263.38
2064,1,264.67,261.73,268.16,260.63
2065,1,259.99,260.83,267.05,266.56
2066,1,258.81,263.82,264.26,261.07
2067,1,263.57,263.58,259.47,263.83
2068,1,256.90,268.80,267.44,262.94
2069,1,263.13,261.90,269.31,258.89
2070,1,267.41,268.62,269.53,265.75
2071,1,262.81,261.95,265.97,258.75
2072,1,251.78,260.37,264.32,259.23
2073,1,262.36,261.76,260.16,267.07
2074,1,261.60,265.59,263.97,263.58
2075,1,252.68,267.21,264.02,262.07
2076,1,262.01,264.01,261.51,267.48
2077,1,261.82,266.86,265.19,269.31
2078,1,260.95,267.96,268.02,264.11
2079,1,261.57,266.87,266.53,266.11
2080,1,258.14,265.27,264.11,258.94
2081,1,258.25,267.63,266.89,266.16
2082,1,262.68,265.50,270.78,262.91
2083,1,264.99,266.75,271.93,270.62
2084,1,252.98,268.72,266.29,268.43
2085,1,260.70,261.10,264.62,269.29
2086,1,259.08,268.74,260.55,266.68
2087,1,257.56,271.91,270.20,260.77
2088,1,262.62,263.56,265.91,258.49
2089,1,265.15,263.95,270.95,259.87
2090,1,248.34,265.30,268.93,264.82
2091,1,266.44,273.66,262.73,262.52
2092,1,263.72,270.88,268.49,260.93
2093,1,263.07,264.94,266.72,264.06
2094,1,263.07,262.10,270.95,265.82
2095,1,259.12,263.23,263.69,261.23
2096,1,260.77,267.56,262.74,263.46
2097,1,256.62,271.81,268.49,267.54
2098,1,250.90,267.91,268.18,265.79
2099,1,263.80,271.83,273.06,265.16
2100,1,264.09,262.93,271.50,264.24
2001,2,255.22,265.01,264.95,256.28
2002,2,259.42,261.89,266.69,267.14
2003,2,262.58,258.23,266.31,255.93
2004,2,262.16,258.66,261.56,255.79
2005,2,264.48,257.01,259.14,255.87
2006,2,258.94,256.82,272.51,263.46
2007,2,261.07,265.14,269.80,266.59
2008,2,265.39,255.20,262.01,259.70
2009,2,252.08,263.20,266.60,257.75
2010,2,262.09,255.88,258.94,259.93
2011,2,262.66,259.58,259.76,260.53
2012,2,261.82,251.44,263.16,264.03
2013,2,265.25,267.95,256.47,268.29
2014,2,264.08,258.69,266.36,264.13
2015,2,265.52,266.26,261.66,267.99
2016,2,257.24,260.81,265.86,270.33
2017,2,268.70,263.22,257.94,263.10
2018,2,256.04,264.16,262.48,260.68
2019,2,259.23,257.38,255.74,259.02
2020,2,262.13,265.33,269.33,266.40
2021,2,262.13,256.05,260.25,257.25
2022,2,268.24,262.50,257.04,263.15
2023,2,258.51,257.62,266.35,263.64
2024,2,255.12,262.09,266.17,256.41
2025,2,262.36,261.62,266.19,250.78
2026,2,265.09,252.22,267.85,266.17
2027,2,267.89,264.30,265.26,257.29
2028,2,261.85,265.86,258.97,263.47
2029,2,260.35,256.87,256.28,264.93
2030,2,266.77,260.42,260.19,270.05
2031,2,260.77,265.22,261.04,265.33
2032,2,255.77,262.14,259.25,258.36
2033,2,261.61,254.56,267.30,261.14
2034,2,260.01,262.48,260.71,268.80
2035,2,264.20,259.63,268.02,258.90
2036,2,261.31,262.19,253.16,266.82
2037,2,261.14,264.39,270.15,261.82
2038,2,262.75,263.97,268.43,267.86
2039,2,266.02,263.20,264.91,262.86
2040,2,262.30,261.57,256.96,266.26
2041,2,266.93,260.90,263.77,269.27
2042,2,256.69,263.95,264.67,267.54
2043,2,270.21,266.30,267.83,259.17
2044,2,267.20,261.91,259.79,259.04
2045,2,255.14,264.18,270.19,262.70
2046,2,254.63,255.05,266.71,260.32
2047,2,268.05,268.72,258.42,259.68
2048,2,259.74,269.90,257.61,257.94
2049,2,267.45,267.75,263.59,269.42
2050,2,260.28,270.23,258.61,266.32
2051,2,262.51,268.13,271.53,265.21
2052,2,266.09,265.81,260.66,260.35
2053,2,262.41,265.63,263.82,265.22
2054,2,264.11,268.81,263.09,267.41
2055,2,262.74,267.28,265.65,266.14
2056,2,263.13,266.77,268.72,264.08
