,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2051,2,255.58,263.27,260.09,258.74
2052,2,260.01,259.02,255.91,256.41
2053,2,256.26,261.48,256.19,257.57
2054,2,262.85,260.38,257.06,262.68
2055,2,257.27,260.16,259.84,263.67
2056,2,253.62,256.35,264.27,259.30
2057,2,249.03,255.41,264.65,255.68
2058,2,258.29,265.06,260.90,267.08
2059,2,252.47,258.86,267.45,254.88
2060,2,248.29,259.96,264.48,256.07
2061,2,260.43,262.70,262.57,262.27
2062,2,257.55,261.43,258.00,255.83
2063,2,257.77,262.18,266.96,261.39
2064,2,252.49,259.76,255.14,262.51
2065,2,254.74,260.19,263.71,266.73
2066,2,254.67,262.82,260.02,257.63
2067,2,256.36,262.13,252.39,252.53
2068,2,259.63,262.11,261.68,260.03
2069,2,255.94,250.80,253.34,258.79
2070,2,257.46,256.42,261.30,256.27
2071,2,258.96,256.60,247.43,259.06
2072,2,260.68,253.05,257.06,250.88
2073,2,258.07,253.69,256.17,253.21
2074,2,255.60,256.63,264.98,259.68
2075,2,249.77,256.87,259.45,258.34
2076,2,258.00,260.78,260.00,263.60
2077,2,260.30,264.54,262.20,260.82
2078,2,254.77,259.43,253.00,256.91
2079,2,261.56,267.64,263.90,257.20
2080,2,255.35,251.34,263.98,254.87
2081,2,252.77,263.39,263.28,256.73
2082,2,257.03,258.18,265.34,263.44
2083,2,258.58,265.31,261.11,254.64
2084,2,248.92,264.23,260.11,257.88
2085,2,253.11,258.65,260.09,260.65
2086,2,256.53,260.26,258.42,264.61
2087,2,258.32,265.07,264.34,253.01
2088,2,251.66,254.92,263.65,259.58
2089,2,263.77,262.37,261.73,262.20
2090,2,248.31,255.75,266.91,263.96
2091,2,253.12,260.36,260.36,261.80
2092,2,251.83,266.16,261.89,260.76
2093,2,256.84,252.03,255.74,258.70
2094,2,243.45,261.74,261.29,262.45
2095,2,251.04,259.69,263.34,258.46
2096,2,255.31,259.49,267.08,262.17
2097,2,254.86,262.11,264.58,258.10
2098,2,253.72,254.99,264.58,257.18
2099,2,255.35,264.38,268.59,260.26
2100,2,256.82,262.29,265.90,258.19
2001,3,260.15,255.46,263.00,261.34
2002,3,257.92,259.13,266.18,259.80
2003,3,260.56,258.91,264.92,264.50
2004,3,255.88,267.49,260.19,265.90
2005,3,258.74,265.06,254.90,267.36
2006,3,260.01,262.09,263.81,262.05
2007,3,262.40,256.39,261.17,262.89
2008,3,260.92,269.81,265.04,260.51
2009,3,259.98,261.56,261.54,265.68
2010,3,266.11,256.34,260.16,254.89
2011,3,260.16,263.75,259.27,257.43
2012,3,260.62,259.90,263.18,259.10
2013,3,258.05,261.74,264.03,265.43
2014,3,262.48,260.37,267.92,265.19
2015,3,265.45,269.43,267.99,262.23
2016,3,257.61,262.60,262.12,264.38
2017,3,254.44,264.43,256.38,255.64
2018,3,257.51,268.59,259.15,266.14
2019,3,269.15,255.67,255.24,256.98
2020,3,260.53,265.26,267.62,269.09
2021,3,257.45,262.29,258.37,261.30
2022,3,258.05,258.49,261.01,260.20
2023,3,261.09,265.15,259.89,265.90
2024,3,259.39,257.95,260.53,260.20
2025,3,262.31,266.99,260.67,255.78
2026,3,259.47,258.80,264.89,262.84
2027,3,260.88,265.74,268.84,266.79
2028,3,250.94,253.77,262.83,258.16
2029,3,259.49,258.37,268.06,273.68
2030,3,269.16,264.38,257.45,266.25
2031,3,265.63,266.81,258.31,272.01
2032,3,260.91,260.07,261.81,264.49
2033,3,260.58,265.14,266.92,265.74
2034,3,262.88,259.95,262.54,261.74
2035,3,255.96,260.58,256.95,263.39
2036,3,264.14,269.64,257.24,263.45
2037,3,270.72,262.24,266.79,260.68
2038,3,258.40,262.27,266.07,261.81
2039,3,264.44,257.92,260.66,261.74
2040,3,258.29,259.12,266.73,259.15
2041,3,260.13,264.62,263.23,259.99
2042,3,265.68,259.22,261.45,262.50
2043,3,263.04,262.24,269.42,264.32
2044,3,260.06,261.08,259.15,266.96
2045,3,263.66,262.90,258.73,259.90
2046,3,262.64,265.68,259.55,265.21
2047,3,263.66,264.85,265.83,263.58
2048,3,263.63,264.38,262.29,260.47
2049,3,260.64,268.53,260.92,257.46
2050,3,268.51,260.89,268.75,263.69
2051,3,264.05,261.02,265.39,254.03
