,,Committed,Scenario A1B,Scenario A2,Scenario B1
Year,Month,øK,øK,øK,øK
2001,1,239.38,240.95,241.79,237.77
2002,1,242.88,238.15,239.95,237.72
2003,1,242.56,235.67,246.98,241.38
2004,1,243.17,240.72,237.01,237.38
2005,1,242.47,243.78,242.26,238.05
2006,1,243.89,242.69,238.89,244.54
2007,1,232.87,250.38,243.22,245.95
2008,1,243.10,235.51,234.72,247.30
2009,1,235.00,239.78,246.90,235.50
2010,1,243.44,233.40,243.76,235.00
2011,1,238.56,242.07,241.25,241.01
2012,1,241.42,236.22,241.10,249.14
2013,1,240.07,244.83,245.87,239.55
2014,1,242.79,241.24,243.94,240.84
2015,1,232.69,240.57,252.73,246.61
2016,1,238.49,243.70,241.57,244.31
2017,1,238.96,241.99,242.33,232.39
2018,1,253.75,250.77,246.70,238.45
2019,1,242.46,237.86,239.39,238.57
2020,1,240.07,238.29,245.30,239.09
2021,1,237.14,245.67,245.74,236.17
2022,1,234.01,248.03,239.28,242.38
2023,1,240.86,244.60,250.04,236.94
2024,1,243.08,241.90,247.77,243.23
2025,1,239.01,244.00,243.70,239.79
2026,1,237.44,252.44,247.54,239.12
2027,1,238.72,242.86,245.87,246.74
2028,1,238.84,240.90,250.96,242.91
2029,1,244.48,238.77,246.86,244.71
2030,1,239.19,243.43,243.87,244.32
2031,1,245.99,241.86,241.87,249.05
2032,1,236.50,249.49,242.37,240.70
2033,1,239.12,251.10,245.00,235.42
2034,1,241.43,246.34,237.44,242.91
2035,1,242.51,246.54,246.30,239.69
2036,1,239.40,250.26,242.87,235.44
2037,1,241.86,245.91,245.73,247.55
2038,1,237.56,239.51,248.41,236.23
2039,1,251.96,253.61,252.80,241.94
2040,1,249.79,243.34,241.99,242.05
2041,1,244.70,238.98,245.01,247.25
2042,1,236.48,244.13,242.65,245.14
2043,1,244.58,244.03,242.53,243.76
2044,1,240.78,246.13,252.47,244.94
2045,1,238.26,244.73,244.36,244.37
2046,1,240.69,247.35,246.42,244.80
2047,1,239.92,245.40,244.56,240.29
2048,1,247.14,247.17,246.43,250.19
2049,1,234.80,241.94,243.19,246.86
2050,1,249.42,239.77,239.09,241.72
2051,1,236.80,247.84,246.65,238.26
